element_id,element_label,record_type,record_id,indicator_id,country_iso3,year,value,unit,name,latitude,longitude,attributes_json,missing_reason_code,note,source_org,source_url,license_code,source_file,source_sheet,source_row,publication_decision_id
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-3-8f1f2fc6fe1d3f6b,A-004_poverty_rate_national,VNM,1992,58.1,%,,,,,,,World Bank,https://data.worldbank.org/indicator/SI.POV.NAHC?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),3,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-4-e4a0d246e7c6c477,A-004_poverty_rate_national,VNM,1993,,%,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS)가 시행되지 않았거나 세계은행 PIP에 해당 연도 추정치가 등재되지 않아 원천이 값을 제공하지 않음.,World Bank,https://data.worldbank.org/indicator/SI.POV.NAHC?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),4,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-5-74c2cfd6f95b4e82,A-004_poverty_rate_national,VNM,1994,,%,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS)가 시행되지 않았거나 세계은행 PIP에 해당 연도 추정치가 등재되지 않아 원천이 값을 제공하지 않음.,World Bank,https://data.worldbank.org/indicator/SI.POV.NAHC?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),5,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-6-41ea300b743aeb1f,A-004_poverty_rate_national,VNM,1995,,%,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS)가 시행되지 않았거나 세계은행 PIP에 해당 연도 추정치가 등재되지 않아 원천이 값을 제공하지 않음.,World Bank,https://data.worldbank.org/indicator/SI.POV.NAHC?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),6,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-7-3328222843b1a6da,A-004_poverty_rate_national,VNM,1996,,%,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS)가 시행되지 않았거나 세계은행 PIP에 해당 연도 추정치가 등재되지 않아 원천이 값을 제공하지 않음.,World Bank,https://data.worldbank.org/indicator/SI.POV.NAHC?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),7,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-8-d329d50e408ca305,A-004_poverty_rate_national,VNM,1997,37.4,%,,,,,,,World Bank,https://data.worldbank.org/indicator/SI.POV.NAHC?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),8,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-9-b44aa488adfd25c4,A-004_poverty_rate_national,VNM,1998,,%,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS)가 시행되지 않았거나 세계은행 PIP에 해당 연도 추정치가 등재되지 않아 원천이 값을 제공하지 않음.,World Bank,https://data.worldbank.org/indicator/SI.POV.NAHC?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),9,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-10-74388980ac1345ec,A-004_poverty_rate_national,VNM,1999,,%,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS)가 시행되지 않았거나 세계은행 PIP에 해당 연도 추정치가 등재되지 않아 원천이 값을 제공하지 않음.,World Bank,https://data.worldbank.org/indicator/SI.POV.NAHC?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),10,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-11-78d27145c3941bd6,A-004_poverty_rate_national,VNM,2000,,%,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS)가 시행되지 않았거나 세계은행 PIP에 해당 연도 추정치가 등재되지 않아 원천이 값을 제공하지 않음.,World Bank,https://data.worldbank.org/indicator/SI.POV.NAHC?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),11,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-12-f50657811e009196,A-004_poverty_rate_national,VNM,2001,,%,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS)가 시행되지 않았거나 세계은행 PIP에 해당 연도 추정치가 등재되지 않아 원천이 값을 제공하지 않음.,World Bank,https://data.worldbank.org/indicator/SI.POV.NAHC?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),12,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-13-cbc24ceb67fe3317,A-004_poverty_rate_national,VNM,2002,28.9,%,,,,,,,World Bank,https://data.worldbank.org/indicator/SI.POV.NAHC?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),13,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-14-dfb89be53ab9709b,A-004_poverty_rate_national,VNM,2003,,%,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS)가 시행되지 않았거나 세계은행 PIP에 해당 연도 추정치가 등재되지 않아 원천이 값을 제공하지 않음.,World Bank,https://data.worldbank.org/indicator/SI.POV.NAHC?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),14,
