element_id,element_label,record_type,record_id,indicator_id,country_iso3,year,value,unit,name,latitude,longitude,attributes_json,missing_reason_code,note,source_org,source_url,license_code,source_file,source_sheet,source_row,publication_decision_id
A-008,지니계수,observation,vnm-v121-a-008-obs-3-6fa01132791acb92,A-008_gini_index,VNM,1992,35.7,지수,,,,,,,World Bank,https://data.worldbank.org/indicator/SI.POV.GINI?locations=VN,CC-BY-4.0,A-008_지니계수.xlsx,1.1_observation(측정값),3,
A-008,지니계수,observation,vnm-v121-a-008-obs-4-a2ce4617a91f56d3,A-008_gini_index,VNM,1993,,지수,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS) 미시행 연도로 세계은행 PIP에 추정치가 없음.,World Bank,https://data.worldbank.org/indicator/SI.POV.GINI?locations=VN,CC-BY-4.0,A-008_지니계수.xlsx,1.1_observation(측정값),4,
A-008,지니계수,observation,vnm-v121-a-008-obs-5-939f3dd10b448b0e,A-008_gini_index,VNM,1994,,지수,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS) 미시행 연도로 세계은행 PIP에 추정치가 없음.,World Bank,https://data.worldbank.org/indicator/SI.POV.GINI?locations=VN,CC-BY-4.0,A-008_지니계수.xlsx,1.1_observation(측정값),5,
A-008,지니계수,observation,vnm-v121-a-008-obs-6-3e9c9cc07e237b13,A-008_gini_index,VNM,1995,,지수,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS) 미시행 연도로 세계은행 PIP에 추정치가 없음.,World Bank,https://data.worldbank.org/indicator/SI.POV.GINI?locations=VN,CC-BY-4.0,A-008_지니계수.xlsx,1.1_observation(측정값),6,
A-008,지니계수,observation,vnm-v121-a-008-obs-7-4d674f20d9cb911f,A-008_gini_index,VNM,1996,,지수,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS) 미시행 연도로 세계은행 PIP에 추정치가 없음.,World Bank,https://data.worldbank.org/indicator/SI.POV.GINI?locations=VN,CC-BY-4.0,A-008_지니계수.xlsx,1.1_observation(측정값),7,
A-008,지니계수,observation,vnm-v121-a-008-obs-8-977fdebc4c7ca91a,A-008_gini_index,VNM,1997,35.4,지수,,,,,,,World Bank,https://data.worldbank.org/indicator/SI.POV.GINI?locations=VN,CC-BY-4.0,A-008_지니계수.xlsx,1.1_observation(측정값),8,
A-008,지니계수,observation,vnm-v121-a-008-obs-9-f1431533fb461f08,A-008_gini_index,VNM,1998,,지수,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS) 미시행 연도로 세계은행 PIP에 추정치가 없음.,World Bank,https://data.worldbank.org/indicator/SI.POV.GINI?locations=VN,CC-BY-4.0,A-008_지니계수.xlsx,1.1_observation(측정값),9,
A-008,지니계수,observation,vnm-v121-a-008-obs-10-3de23300c242603c,A-008_gini_index,VNM,1999,,지수,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS) 미시행 연도로 세계은행 PIP에 추정치가 없음.,World Bank,https://data.worldbank.org/indicator/SI.POV.GINI?locations=VN,CC-BY-4.0,A-008_지니계수.xlsx,1.1_observation(측정값),10,
A-008,지니계수,observation,vnm-v121-a-008-obs-11-d9a281eda719338f,A-008_gini_index,VNM,2000,,지수,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS) 미시행 연도로 세계은행 PIP에 추정치가 없음.,World Bank,https://data.worldbank.org/indicator/SI.POV.GINI?locations=VN,CC-BY-4.0,A-008_지니계수.xlsx,1.1_observation(측정값),11,
A-008,지니계수,observation,vnm-v121-a-008-obs-12-5fbd07dd17dc3708,A-008_gini_index,VNM,2001,,지수,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS) 미시행 연도로 세계은행 PIP에 추정치가 없음.,World Bank,https://data.worldbank.org/indicator/SI.POV.GINI?locations=VN,CC-BY-4.0,A-008_지니계수.xlsx,1.1_observation(측정값),12,
A-008,지니계수,observation,vnm-v121-a-008-obs-13-b692ef2b4a801fb2,A-008_gini_index,VNM,2002,37,지수,,,,,,,World Bank,https://data.worldbank.org/indicator/SI.POV.GINI?locations=VN,CC-BY-4.0,A-008_지니계수.xlsx,1.1_observation(측정값),13,
A-008,지니계수,observation,vnm-v121-a-008-obs-14-534e2d8ae61713d4,A-008_gini_index,VNM,2003,,지수,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS) 미시행 연도로 세계은행 PIP에 추정치가 없음.,World Bank,https://data.worldbank.org/indicator/SI.POV.GINI?locations=VN,CC-BY-4.0,A-008_지니계수.xlsx,1.1_observation(측정값),14,
A-008,지니계수,observation,vnm-v121-a-008-obs-15-9eb153ea70a23dcd,A-008_gini_index,VNM,2004,36.8,지수,,,,,,,World Bank,https://data.worldbank.org/indicator/SI.POV.GINI?locations=VN,CC-BY-4.0,A-008_지니계수.xlsx,1.1_observation(측정값),15,
A-008,지니계수,observation,vnm-v121-a-008-obs-16-43d62a83cc9ddb1b,A-008_gini_index,VNM,2005,,지수,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS) 미시행 연도로 세계은행 PIP에 추정치가 없음.,World Bank,https://data.worldbank.org/indicator/SI.POV.GINI?locations=VN,CC-BY-4.0,A-008_지니계수.xlsx,1.1_observation(측정값),16,
A-008,지니계수,observation,vnm-v121-a-008-obs-17-24ae49d036c63e85,A-008_gini_index,VNM,2006,35.8,지수,,,,,,,World Bank,https://data.worldbank.org/indicator/SI.POV.GINI?locations=VN,CC-BY-4.0,A-008_지니계수.xlsx,1.1_observation(측정값),17,
A-008,지니계수,observation,vnm-v121-a-008-obs-18-dabc6144907b69fd,A-008_gini_index,VNM,2007,,지수,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS) 미시행 연도로 세계은행 PIP에 추정치가 없음.,World Bank,https://data.worldbank.org/indicator/SI.POV.GINI?locations=VN,CC-BY-4.0,A-008_지니계수.xlsx,1.1_observation(측정값),18,
A-008,지니계수,observation,vnm-v121-a-008-obs-19-8a4f92c571546aea,A-008_gini_index,VNM,2008,35.6,지수,,,,,,,World Bank,https://data.worldbank.org/indicator/SI.POV.GINI?locations=VN,CC-BY-4.0,A-008_지니계수.xlsx,1.1_observation(측정값),19,
A-008,지니계수,observation,vnm-v121-a-008-obs-20-9adafa603f2f7ff4,A-008_gini_index,VNM,2009,,지수,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS) 미시행 연도로 세계은행 PIP에 추정치가 없음.,World Bank,https://data.worldbank.org/indicator/SI.POV.GINI?locations=VN,CC-BY-4.0,A-008_지니계수.xlsx,1.1_observation(측정값),20,
A-008,지니계수,observation,vnm-v121-a-008-obs-21-cf5676aa8d276a69,A-008_gini_index,VNM,2010,39.3,지수,,,,,,,World Bank,https://data.worldbank.org/indicator/SI.POV.GINI?locations=VN,CC-BY-4.0,A-008_지니계수.xlsx,1.1_observation(측정값),21,
A-008,지니계수,observation,vnm-v121-a-008-obs-22-5cccd3fd097e68f5,A-008_gini_index,VNM,2011,,지수,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS) 미시행 연도로 세계은행 PIP에 추정치가 없음.,World Bank,https://data.worldbank.org/indicator/SI.POV.GINI?locations=VN,CC-BY-4.0,A-008_지니계수.xlsx,1.1_observation(측정값),22,
A-008,지니계수,observation,vnm-v121-a-008-obs-23-63d998fbf6b3141f,A-008_gini_index,VNM,2012,35.6,지수,,,,,,,World Bank,https://data.worldbank.org/indicator/SI.POV.GINI?locations=VN,CC-BY-4.0,A-008_지니계수.xlsx,1.1_observation(측정값),23,
A-008,지니계수,observation,vnm-v121-a-008-obs-24-d9ed7fc88cb1fecd,A-008_gini_index,VNM,2013,,지수,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS) 미시행 연도로 세계은행 PIP에 추정치가 없음.,World Bank,https://data.worldbank.org/indicator/SI.POV.GINI?locations=VN,CC-BY-4.0,A-008_지니계수.xlsx,1.1_observation(측정값),24,
A-008,지니계수,observation,vnm-v121-a-008-obs-25-51fc5650aa48dab5,A-008_gini_index,VNM,2014,34.8,지수,,,,,,,World Bank,https://data.worldbank.org/indicator/SI.POV.GINI?locations=VN,CC-BY-4.0,A-008_지니계수.xlsx,1.1_observation(측정값),25,
A-008,지니계수,observation,vnm-v121-a-008-obs-26-f304271f517183f7,A-008_gini_index,VNM,2015,,지수,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS) 미시행 연도로 세계은행 PIP에 추정치가 없음.,World Bank,https://data.worldbank.org/indicator/SI.POV.GINI?locations=VN,CC-BY-4.0,A-008_지니계수.xlsx,1.1_observation(측정값),26,
A-008,지니계수,observation,vnm-v121-a-008-obs-27-0ee5287357bbc0bc,A-008_gini_index,VNM,2016,35.3,지수,,,,,,,World Bank,https://data.worldbank.org/indicator/SI.POV.GINI?locations=VN,CC-BY-4.0,A-008_지니계수.xlsx,1.1_observation(측정값),27,
A-008,지니계수,observation,vnm-v121-a-008-obs-28-14b53a8ee3194490,A-008_gini_index,VNM,2017,,지수,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS) 미시행 연도로 세계은행 PIP에 추정치가 없음.,World Bank,https://data.worldbank.org/indicator/SI.POV.GINI?locations=VN,CC-BY-4.0,A-008_지니계수.xlsx,1.1_observation(측정값),28,
A-008,지니계수,observation,vnm-v121-a-008-obs-29-d7e455e751abbc33,A-008_gini_index,VNM,2018,35.7,지수,,,,,,,World Bank,https://data.worldbank.org/indicator/SI.POV.GINI?locations=VN,CC-BY-4.0,A-008_지니계수.xlsx,1.1_observation(측정값),29,
A-008,지니계수,observation,vnm-v121-a-008-obs-30-0d21a0391599c640,A-008_gini_index,VNM,2019,,지수,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS) 미시행 연도로 세계은행 PIP에 추정치가 없음.,World Bank,https://data.worldbank.org/indicator/SI.POV.GINI?locations=VN,CC-BY-4.0,A-008_지니계수.xlsx,1.1_observation(측정값),30,
A-008,지니계수,observation,vnm-v121-a-008-obs-31-d9d6e09ec573a712,A-008_gini_index,VNM,2020,36.8,지수,,,,,,,World Bank,https://data.worldbank.org/indicator/SI.POV.GINI?locations=VN,CC-BY-4.0,A-008_지니계수.xlsx,1.1_observation(측정값),31,
A-008,지니계수,observation,vnm-v121-a-008-obs-32-e70519a81685ec92,A-008_gini_index,VNM,2021,,지수,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS) 미시행 연도로 세계은행 PIP에 추정치가 없음.,World Bank,https://data.worldbank.org/indicator/SI.POV.GINI?locations=VN,CC-BY-4.0,A-008_지니계수.xlsx,1.1_observation(측정값),32,
A-008,지니계수,observation,vnm-v121-a-008-obs-33-fe814e024ea9cb87,A-008_gini_index,VNM,2022,36.1,지수,,,,,,,World Bank,https://data.worldbank.org/indicator/SI.POV.GINI?locations=VN,CC-BY-4.0,A-008_지니계수.xlsx,1.1_observation(측정값),33,
