element_id,element_label,record_type,record_id,indicator_id,country_iso3,year,period_start,period_end,period,statistic_type,source_year_label,value,unit,name,latitude,longitude,attributes_json,missing_reason_code,note,source_org,source_url,license_code,source_file,source_sheet,source_row,publication_decision_id
B-026,유향(flow direction),entity,v124-b-026-entity-00001,B-026_flowdir_adm1,VNM,,,,,,,,,VNM.33_1,9.93445,105.310244,"{""2025_개편_후_소속_34개_체계"":""An Giang"",""E_동_비율"":13.12,""NE_북동_비율"":6.68,""NW_북서_비율"":7.91,""N_북_비율"":16.03,""SE_남동_비율"":7.85,""SW_남서_비율"":8.93,""S_남_비율"":17.3,""W_서_비율"":19.96,""격자_원천"":""HydroSHEDS DIR 15s (VNM clip)"",""경계_좌표_산출근거"":""HydroSHEDS Flow Direction 15 arc-sec(v1.1) D8 격자를 GADM 4.1 ADM1 성 경계로 집계하여 방위별 격자 비율과 우세 유향을 산출. 좌표계 EPSG:4326."",""경계_폴리곤_파일"":""[공통]VNM_admin1_GADM41_63.geojson"",""기후기술_연계_근거"":""간접 · 연구진 판단 — 유향은 유역 획정·물 이동 경로의 기초 정보로 물관리 기술 입지 판단에 사용. 주 기술 32(물 부문), 부 기술 5(수력) — 2026-08-28 발주처 지시에 따라 tech_id에 ';'로 연결해 복수 기입. [근거자료] 원천 문서에 기술분류 표기 없음 — 연구진 판단(근거 기재 원칙)"",""레코드_키"":""VNM.33_1"",""우세_유향"":""W 서"",""우세_유향_비율"":19.96,""유효_격자_수"":29843,""지역명_로마자"":""KienGiang"",""지역명_베트남어"":""KiênGiang"",""행정단위"":""Province""}",,주 기술 32(물 부문) · 부 기술 5(수력) — tech_id에 ';'로 연결해 복수 기입(2026-08-28 발주처 지시).,,,,B-026.xlsx,1.2_entity(레코드형),36,
B-026,유향(flow direction),entity,v124-b-026-entity-00002,B-026_flowdir_adm1,VNM,,,,,,,,,VNM.1_1,10.586308,105.266808,"{""2025_개편_후_소속_34개_체계"":""An Giang"",""E_동_비율"":14.55,""NE_북동_비율"":9.13,""NW_북서_비율"":7.86,""N_북_비율"":17.13,""SE_남동_비율"":8.15,""SW_남서_비율"":8.57,""S_남_비율"":16.96,""W_서_비율"":17.65,""격자_원천"":""HydroSHEDS DIR 15s (VNM clip)"",""경계_좌표_산출근거"":""HydroSHEDS Flow Direction 15 arc-sec(v1.1) D8 격자를 GADM 4.1 ADM1 성 경계로 집계하여 방위별 격자 비율과 우세 유향을 산출. 좌표계 EPSG:4326."",""경계_폴리곤_파일"":""[공통]VNM_admin1_GADM41_63.geojson"",""기후기술_연계_근거"":""간접 · 연구진 판단 — 유향은 유역 획정·물 이동 경로의 기초 정보로 물관리 기술 입지 판단에 사용. 주 기술 32(물 부문), 부 기술 5(수력) — 2026-08-28 발주처 지시에 따라 tech_id에 ';'로 연결해 복수 기입. [근거자료] 원천 문서에 기술분류 표기 없음 — 연구진 판단(근거 기재 원칙)"",""레코드_키"":""VNM.1_1"",""우세_유향"":""W 서"",""우세_유향_비율"":17.65,""유효_격자_수"":16773,""지역명_로마자"":""AnGiang"",""지역명_베트남어"":""AnGiang"",""행정단위"":""Province""}",,주 기술 32(물 부문) · 부 기술 5(수력) — tech_id에 ';'로 연결해 복수 기입(2026-08-28 발주처 지시).,,,,B-026.xlsx,1.2_entity(레코드형),4,
B-026,유향(flow direction),entity,v124-b-026-entity-00003,B-026_flowdir_adm1,VNM,,,,,,,,,VNM.3_1,21.379775,106.428763,"{""2025_개편_후_소속_34개_체계"":""Bắc Ninh"",""E_동_비율"":12.81,""NE_북동_비율"":6.4,""NW_북서_비율"":7.14,""N_북_비율"":15.07,""SE_남동_비율"":8.12,""SW_남서_비율"":10.96,""S_남_비율"":21.02,""W_서_비율"":18.47,""격자_원천"":""HydroSHEDS DIR 15s (VNM clip)"",""경계_좌표_산출근거"":""HydroSHEDS Flow Direction 15 arc-sec(v1.1) D8 격자를 GADM 4.1 ADM1 성 경계로 집계하여 방위별 격자 비율과 우세 유향을 산출. 좌표계 EPSG:4326."",""경계_폴리곤_파일"":""[공통]VNM_admin1_GADM41_63.geojson"",""기후기술_연계_근거"":""간접 · 연구진 판단 — 유향은 유역 획정·물 이동 경로의 기초 정보로 물관리 기술 입지 판단에 사용. 주 기술 32(물 부문), 부 기술 5(수력) — 2026-08-28 발주처 지시에 따라 tech_id에 ';'로 연결해 복수 기입. [근거자료] 원천 문서에 기술분류 표기 없음 — 연구진 판단(근거 기재 원칙)"",""레코드_키"":""VNM.3_1"",""우세_유향"":""S 남"",""우세_유향_비율"":21.02,""유효_격자_수"":19519,""지역명_로마자"":""BacGiang"",""지역명_베트남어"":""BắcGiang"",""행정단위"":""Province""}",,주 기술 32(물 부문) · 부 기술 5(수력) — tech_id에 ';'로 연결해 복수 기입(2026-08-28 발주처 지시).,,,,B-026.xlsx,1.2_entity(레코드형),6,
B-026,유향(flow direction),entity,v124-b-026-entity-00004,B-026_flowdir_adm1,VNM,,,,,,,,,VNM.5_1,21.103953,106.061065,"{""2025_개편_후_소속_34개_체계"":""Bắc Ninh"",""E_동_비율"":16.43,""NE_북동_비율"":12.37,""NW_북서_비율"":8.59,""N_북_비율"":22.13,""SE_남동_비율"":9.86,""SW_남서_비율"":5.67,""S_남_비율"":14.61,""W_서_비율"":10.35,""격자_원천"":""HydroSHEDS DIR 15s (VNM clip)"",""경계_좌표_산출근거"":""HydroSHEDS Flow Direction 15 arc-sec(v1.1) D8 격자를 GADM 4.1 ADM1 성 경계로 집계하여 방위별 격자 비율과 우세 유향을 산출. 좌표계 EPSG:4326."",""경계_폴리곤_파일"":""[공통]VNM_admin1_GADM41_63.geojson"",""기후기술_연계_근거"":""간접 · 연구진 판단 — 유향은 유역 획정·물 이동 경로의 기초 정보로 물관리 기술 입지 판단에 사용. 주 기술 32(물 부문), 부 기술 5(수력) — 2026-08-28 발주처 지시에 따라 tech_id에 ';'로 연결해 복수 기입. [근거자료] 원천 문서에 기술분류 표기 없음 — 연구진 판단(근거 기재 원칙)"",""레코드_키"":""VNM.5_1"",""우세_유향"":""N 북"",""우세_유향_비율"":22.13,""유효_격자_수"":4108,""지역명_로마자"":""BacNinh"",""지역명_베트남어"":""BắcNinh"",""행정단위"":""Province""}",,주 기술 32(물 부문) · 부 기술 5(수력) — tech_id에 ';'로 연결해 복수 기입(2026-08-28 발주처 지시).,,,,B-026.xlsx,1.2_entity(레코드형),8,
B-026,유향(flow direction),entity,v124-b-026-entity-00005,B-026_flowdir_adm1,VNM,,,,,,,,,VNM.14_1,22.759297,106.109097,"{""2025_개편_후_소속_34개_체계"":""Cao Bằng"",""E_동_비율"":16.29,""NE_북동_비율"":10.34,""NW_북서_비율"":6.75,""N_북_비율"":14.92,""SE_남동_비율"":9.74,""SW_남서_비율"":10.06,""S_남_비율"":16.64,""W_서_비율"":15.25,""격자_원천"":""HydroSHEDS DIR 15s (VNM clip)"",""경계_좌표_산출근거"":""HydroSHEDS Flow Direction 15 arc-sec(v1.1) D8 격자를 GADM 4.1 ADM1 성 경계로 집계하여 방위별 격자 비율과 우세 유향을 산출. 좌표계 EPSG:4326."",""경계_폴리곤_파일"":""[공통]VNM_admin1_GADM41_63.geojson"",""기후기술_연계_근거"":""간접 · 연구진 판단 — 유향은 유역 획정·물 이동 경로의 기초 정보로 물관리 기술 입지 판단에 사용. 주 기술 32(물 부문), 부 기술 5(수력) — 2026-08-28 발주처 지시에 따라 tech_id에 ';'로 연결해 복수 기입. [근거자료] 원천 문서에 기술분류 표기 없음 — 연구진 판단(근거 기재 원칙)"",""레코드_키"":""VNM.14_1"",""우세_유향"":""S 남"",""우세_유향_비율"":16.64,""유효_격자_수"":33894,""지역명_로마자"":""CaoBang"",""지역명_베트남어"":""CaoBằng"",""행정단위"":""Province""}",,주 기술 32(물 부문) · 부 기술 5(수력) — tech_id에 ';'로 연결해 복수 기입(2026-08-28 발주처 지시).,,,,B-026.xlsx,1.2_entity(레코드형),17,
B-026,유향(flow direction),entity,v124-b-026-entity-00006,B-026_flowdir_adm1,VNM,,,,,,,,,VNM.2_1,9.383692,105.515103,"{""2025_개편_후_소속_34개_체계"":""Cà Mau"",""E_동_비율"":12.75,""NE_북동_비율"":6,""NW_북서_비율"":7.88,""N_북_비율"":15.12,""SE_남동_비율"":9.93,""SW_남서_비율"":9.6,""S_남_비율"":20.26,""W_서_비율"":17.85,""격자_원천"":""HydroSHEDS DIR 15s (VNM clip)"",""경계_좌표_산출근거"":""HydroSHEDS Flow Direction 15 arc-sec(v1.1) D8 격자를 GADM 4.1 ADM1 성 경계로 집계하여 방위별 격자 비율과 우세 유향을 산출. 좌표계 EPSG:4326."",""경계_폴리곤_파일"":""[공통]VNM_admin1_GADM41_63.geojson"",""기후기술_연계_근거"":""간접 · 연구진 판단 — 유향은 유역 획정·물 이동 경로의 기초 정보로 물관리 기술 입지 판단에 사용. 주 기술 32(물 부문), 부 기술 5(수력) — 2026-08-28 발주처 지시에 따라 tech_id에 ';'로 연결해 복수 기입. [근거자료] 원천 문서에 기술분류 표기 없음 — 연구진 판단(근거 기재 원칙)"",""레코드_키"":""VNM.2_1"",""우세_유향"":""S 남"",""우세_유향_비율"":20.26,""유효_격자_수"":11752,""지역명_로마자"":""BacLieu"",""지역명_베트남어"":""BạcLiêu"",""행정단위"":""Province""}",,주 기술 32(물 부문) · 부 기술 5(수력) — tech_id에 ';'로 연결해 복수 기입(2026-08-28 발주처 지시).,,,,B-026.xlsx,1.2_entity(레코드형),5,
B-026,유향(flow direction),entity,v124-b-026-entity-00007,B-026_flowdir_adm1,VNM,,,,,,,,,VNM.13_1,8.95681,105.061349,"{""2025_개편_후_소속_34개_체계"":""Cà Mau"",""E_동_비율"":12.83,""NE_북동_비율"":6.53,""NW_북서_비율"":10.55,""N_북_비율"":15.63,""SE_남동_비율"":10.57,""SW_남서_비율"":7.29,""S_남_비율"":16.5,""W_서_비율"":18.71,""격자_원천"":""HydroSHEDS DIR 15s (VNM clip)"",""경계_좌표_산출근거"":""HydroSHEDS Flow Direction 15 arc-sec(v1.1) D8 격자를 GADM 4.1 ADM1 성 경계로 집계하여 방위별 격자 비율과 우세 유향을 산출. 좌표계 EPSG:4326."",""경계_폴리곤_파일"":""[공통]VNM_admin1_GADM41_63.geojson"",""기후기술_연계_근거"":""간접 · 연구진 판단 — 유향은 유역 획정·물 이동 경로의 기초 정보로 물관리 기술 입지 판단에 사용. 주 기술 32(물 부문), 부 기술 5(수력) — 2026-08-28 발주처 지시에 따라 tech_id에 ';'로 연결해 복수 기입. [근거자료] 원천 문서에 기술분류 표기 없음 — 연구진 판단(근거 기재 원칙)"",""레코드_키"":""VNM.13_1"",""우세_유향"":""W 서"",""우세_유향_비율"":18.71,""유효_격자_수"":24457,""지역명_로마자"":""CaMau"",""지역명_베트남어"":""CàMau"",""행정단위"":""Province""}",,주 기술 32(물 부문) · 부 기술 5(수력) — tech_id에 ';'로 연결해 복수 기입(2026-08-28 발주처 지시).,,,,B-026.xlsx,1.2_entity(레코드형),16,
B-026,유향(flow direction),entity,v124-b-026-entity-00008,B-026_flowdir_adm1,VNM,,,,,,,,,VNM.24_1,9.755554,105.562522,"{""2025_개편_후_소속_34개_체계"":""Cần Thơ"",""E_동_비율"":10.88,""NE_북동_비율"":6.5,""NW_북서_비율"":10.53,""N_북_비율"":16.94,""SE_남동_비율"":7.58,""SW_남서_비율"":8.89,""S_남_비율"":16.27,""W_서_비율"":22.41,""격자_원천"":""HydroSHEDS DIR 15s (VNM clip)"",""경계_좌표_산출근거"":""HydroSHEDS Flow Direction 15 arc-sec(v1.1) D8 격자를 GADM 4.1 ADM1 성 경계로 집계하여 방위별 격자 비율과 우세 유향을 산출. 좌표계 EPSG:4326."",""경계_폴리곤_파일"":""[공통]VNM_admin1_GADM41_63.geojson"",""기후기술_연계_근거"":""간접 · 연구진 판단 — 유향은 유역 획정·물 이동 경로의 기초 정보로 물관리 기술 입지 판단에 사용. 주 기술 32(물 부문), 부 기술 5(수력) — 2026-08-28 발주처 지시에 따라 tech_id에 ';'로 연결해 복수 기입. [근거자료] 원천 문서에 기술분류 표기 없음 — 연구진 판단(근거 기재 원칙)"",""레코드_키"":""VNM.24_1"",""우세_유향"":""W 서"",""우세_유향_비율"":22.41,""유효_격자_수"":7693,""지역명_로마자"":""HauGiang"",""지역명_베트남어"":""HậuGiang"",""행정단위"":""Province""}",,주 기술 32(물 부문) · 부 기술 5(수력) — tech_id에 ';'로 연결해 복수 기입(2026-08-28 발주처 지시).,,,,B-026.xlsx,1.2_entity(레코드형),27,
B-026,유향(flow direction),entity,v124-b-026-entity-00009,B-026_flowdir_adm1,VNM,,,,,,,,,VNM.51_1,9.503674,105.823139,"{""2025_개편_후_소속_34개_체계"":""Cần Thơ"",""E_동_비율"":12.22,""NE_북동_비율"":9.35,""NW_북서_비율"":7.99,""N_북_비율"":16.07,""SE_남동_비율"":9.24,""SW_남서_비율"":8.31,""S_남_비율"":17.82,""W_서_비율"":17.78,""격자_원천"":""HydroSHEDS DIR 15s (VNM clip)"",""경계_좌표_산출근거"":""HydroSHEDS Flow Direction 15 arc-sec(v1.1) D8 격자를 GADM 4.1 ADM1 성 경계로 집계하여 방위별 격자 비율과 우세 유향을 산출. 좌표계 EPSG:4326."",""경계_폴리곤_파일"":""[공통]VNM_admin1_GADM41_63.geojson"",""기후기술_연계_근거"":""간접 · 연구진 판단 — 유향은 유역 획정·물 이동 경로의 기초 정보로 물관리 기술 입지 판단에 사용. 주 기술 32(물 부문), 부 기술 5(수력) — 2026-08-28 발주처 지시에 따라 tech_id에 ';'로 연결해 복수 기입. [근거자료] 원천 문서에 기술분류 표기 없음 — 연구진 판단(근거 기재 원칙)"",""레코드_키"":""VNM.51_1"",""우세_유향"":""S 남"",""우세_유향_비율"":17.82,""유효_격자_수"":15491,""지역명_로마자"":""SocTrang"",""지역명_베트남어"":""SócTrăng"",""행정단위"":""Province""}",,주 기술 32(물 부문) · 부 기술 5(수력) — tech_id에 ';'로 연결해 복수 기입(2026-08-28 발주처 지시).,,,,B-026.xlsx,1.2_entity(레코드형),54,
B-026,유향(flow direction),entity,v124-b-026-entity-00010,B-026_flowdir_adm1,VNM,,,,,,,,,VNM.12_1,10.074176,105.579935,"{""2025_개편_후_소속_34개_체계"":""Cần Thơ"",""E_동_비율"":14.02,""NE_북동_비율"":11.61,""NW_북서_비율"":7.21,""N_북_비율"":15.38,""SE_남동_비율"":8.67,""SW_남서_비율"":8.12,""S_남_비율"":17.35,""W_서_비율"":17.64,""격자_원천"":""HydroSHEDS DIR 15s (VNM clip)"",""경계_좌표_산출근거"":""HydroSHEDS Flow Direction 15 arc-sec(v1.1) D8 격자를 GADM 4.1 ADM1 성 경계로 집계하여 방위별 격자 비율과 우세 유향을 산출. 좌표계 EPSG:4326."",""경계_폴리곤_파일"":""[공통]VNM_admin1_GADM41_63.geojson"",""기후기술_연계_근거"":""간접 · 연구진 판단 — 유향은 유역 획정·물 이동 경로의 기초 정보로 물관리 기술 입지 판단에 사용. 주 기술 32(물 부문), 부 기술 5(수력) — 2026-08-28 발주처 지시에 따라 tech_id에 ';'로 연결해 복수 기입. [근거자료] 원천 문서에 기술분류 표기 없음 — 연구진 판단(근거 기재 원칙)"",""레코드_키"":""VNM.12_1"",""우세_유향"":""W 서"",""우세_유향_비율"":17.64,""유효_격자_수"":6848,""지역명_로마자"":""CanTho"",""지역명_베트남어"":""CầnThơ"",""행정단위"":""City""}",,주 기술 32(물 부문) · 부 기술 5(수력) — tech_id에 ';'로 연결해 복수 기입(2026-08-28 발주처 지시).,,,,B-026.xlsx,1.2_entity(레코드형),15,
