element_id,element_label,record_type,record_id,indicator_id,country_iso3,year,value,unit,name,latitude,longitude,attributes_json,missing_reason_code,note,source_org,source_url,license_code,source_file,source_sheet,source_row,publication_decision_id
B-030,산림 이득,observation,vnm-v121-b-030-obs-4-d1a37c9c70712095,B-030_tree_cover_gain,VNM,2020,965013.03,ha,,,,,,"[추정치] · 2000–2020 20년 누적 이득. ≈9,650.13 km². GEDI+Landsat 기반 수고(height) 변화 판정",Global Forest Watch / UMD (Potapov et al. 2022),https://data-api.globalforestwatch.org/dataset/umd_tree_cover_loss,CC-BY-4.0,B-030_산림 이득(ha／yr).xlsx,1.1_observation(측정값),4,
B-030,산림 이득,observation,vnm-v121-b-030-obs-5-b878c384ba61c889,B-030_tree_cover_gain_annual,VNM,2020,,ha/yr,,,,,M01,원천이 2000–2020 20년 단일 누적값만 제공 — 연도별 분해값 미제공,Global Forest Watch / UMD,https://data-api.globalforestwatch.org/dataset/umd_tree_cover_loss,기관 이용약관,B-030_산림 이득(ha／yr).xlsx,1.1_observation(측정값),5,
B-030,산림 이득,observation,vnm-v121-b-030-obs-6-4b06e90e26cd1021,B-030_planted_forest_gain_proxy,VNM,1991,85.85,1000 ha/yr,,,,,,[추정치] · FAO 조림지 면적의 전년 대비 순증분 — 국가보고 기반 통계,FAO FAOSTAT Land Use (RL),https://bulks-faostat.fao.org/production/Inputs_LandUse_E_All_Data_(Normalized).zip,CC-BY-4.0,B-030_산림 이득(ha／yr).xlsx,1.1_observation(측정값),6,
B-030,산림 이득,observation,vnm-v121-b-030-obs-7-60e4d8d060918912,B-030_planted_forest_gain_proxy,VNM,1992,85.86,1000 ha/yr,,,,,,[추정치] · FAO 조림지 면적의 전년 대비 순증분 — 국가보고 기반 통계,FAO FAOSTAT Land Use (RL),https://bulks-faostat.fao.org/production/Inputs_LandUse_E_All_Data_(Normalized).zip,CC-BY-4.0,B-030_산림 이득(ha／yr).xlsx,1.1_observation(측정값),7,
B-030,산림 이득,observation,vnm-v121-b-030-obs-8-5cde9d74ac2bedbf,B-030_planted_forest_gain_proxy,VNM,1993,85.85,1000 ha/yr,,,,,,[추정치] · FAO 조림지 면적의 전년 대비 순증분 — 국가보고 기반 통계,FAO FAOSTAT Land Use (RL),https://bulks-faostat.fao.org/production/Inputs_LandUse_E_All_Data_(Normalized).zip,CC-BY-4.0,B-030_산림 이득(ha／yr).xlsx,1.1_observation(측정값),8,
B-030,산림 이득,observation,vnm-v121-b-030-obs-9-c2805bff441c1346,B-030_planted_forest_gain_proxy,VNM,1994,85.86,1000 ha/yr,,,,,,[추정치] · FAO 조림지 면적의 전년 대비 순증분 — 국가보고 기반 통계,FAO FAOSTAT Land Use (RL),https://bulks-faostat.fao.org/production/Inputs_LandUse_E_All_Data_(Normalized).zip,CC-BY-4.0,B-030_산림 이득(ha／yr).xlsx,1.1_observation(측정값),9,
B-030,산림 이득,observation,vnm-v121-b-030-obs-10-ce97f4412dbbb085,B-030_planted_forest_gain_proxy,VNM,1995,85.85,1000 ha/yr,,,,,,[추정치] · FAO 조림지 면적의 전년 대비 순증분 — 국가보고 기반 통계,FAO FAOSTAT Land Use (RL),https://bulks-faostat.fao.org/production/Inputs_LandUse_E_All_Data_(Normalized).zip,CC-BY-4.0,B-030_산림 이득(ha／yr).xlsx,1.1_observation(측정값),10,
B-030,산림 이득,observation,vnm-v121-b-030-obs-11-93dbc0771582c561,B-030_planted_forest_gain_proxy,VNM,1996,85.85,1000 ha/yr,,,,,,[추정치] · FAO 조림지 면적의 전년 대비 순증분 — 국가보고 기반 통계,FAO FAOSTAT Land Use (RL),https://bulks-faostat.fao.org/production/Inputs_LandUse_E_All_Data_(Normalized).zip,CC-BY-4.0,B-030_산림 이득(ha／yr).xlsx,1.1_observation(측정값),11,
B-030,산림 이득,observation,vnm-v121-b-030-obs-12-bf395d352b158649,B-030_planted_forest_gain_proxy,VNM,1997,85.86,1000 ha/yr,,,,,,[추정치] · FAO 조림지 면적의 전년 대비 순증분 — 국가보고 기반 통계,FAO FAOSTAT Land Use (RL),https://bulks-faostat.fao.org/production/Inputs_LandUse_E_All_Data_(Normalized).zip,CC-BY-4.0,B-030_산림 이득(ha／yr).xlsx,1.1_observation(측정값),12,
B-030,산림 이득,observation,vnm-v121-b-030-obs-13-dfb4967657c59c20,B-030_planted_forest_gain_proxy,VNM,1998,85.85,1000 ha/yr,,,,,,[추정치] · FAO 조림지 면적의 전년 대비 순증분 — 국가보고 기반 통계,FAO FAOSTAT Land Use (RL),https://bulks-faostat.fao.org/production/Inputs_LandUse_E_All_Data_(Normalized).zip,CC-BY-4.0,B-030_산림 이득(ha／yr).xlsx,1.1_observation(측정값),13,
