element_id,element_label,record_type,record_id,indicator_id,country_iso3,year,value,unit,name,latitude,longitude,attributes_json,missing_reason_code,note,source_org,source_url,license_code,source_file,source_sheet,source_row,publication_decision_id
C-002,"BTR[제출년도, 문서 링크, GHG 총배출량(incl./excl. LULUCF), 부문별 NDC 감축 달성량, SSP별 기온 전망, SSP별 강수 전망, 극한기후지수 변화, GDP 손실 추정, 적응 이행 프로그램 수, 재정 지원 수요/수혜, 원본 링크]; 부문별 배출량[에너지, IPPU, 농업, FOLU, 폐기물]",observation,vnm-v121-c-002-obs-3-db7491edcdb343e1,C-002_reporting_seo_submission_inventory_base_year_bur1,VNM,2014,2014,년,,,,,,MONRE 제출. 베트남 최초 2010년 GHG 인벤토리 보고서,UNFCCC / 베트남 천연자원환경부(MONRE),https://unfccc.int/resource/docs/natc/vnmbur1.pdf,UNFCCC 문서 이용약관,"C-002_BTR (격년투명성보고서, 舊 BUR).xlsx",1.1_observation(측정값),3,
C-002,"BTR[제출년도, 문서 링크, GHG 총배출량(incl./excl. LULUCF), 부문별 NDC 감축 달성량, SSP별 기온 전망, SSP별 강수 전망, 극한기후지수 변화, GDP 손실 추정, 적응 이행 프로그램 수, 재정 지원 수요/수혜, 원본 링크]; 부문별 배출량[에너지, IPPU, 농업, FOLU, 폐기물]",observation,vnm-v121-c-002-obs-4-4d45e739200c8c56,C-002_reporting_seo_submission_inventory_base_year_bur2,VNM,2017,2017,년,,,,,,MONRE 제출,UNFCCC / 베트남 천연자원환경부(MONRE),https://unfccc.int/documents/180729,UNFCCC 문서 이용약관,"C-002_BTR (격년투명성보고서, 舊 BUR).xlsx",1.1_observation(측정값),4,
C-002,"BTR[제출년도, 문서 링크, GHG 총배출량(incl./excl. LULUCF), 부문별 NDC 감축 달성량, SSP별 기온 전망, SSP별 강수 전망, 극한기후지수 변화, GDP 손실 추정, 적응 이행 프로그램 수, 재정 지원 수요/수혜, 원본 링크]; 부문별 배출량[에너지, IPPU, 농업, FOLU, 폐기물]",observation,vnm-v121-c-002-obs-5-886664dfc2826578,C-002_reporting_seo_submission_inventory_base_year_bur3,VNM,2021,2021.4.16,년월일,,,,,,"작성(개발) 기간은 2019~2020년(BUR3 §5.4.1), 실제 UNFCCC 제출일은 2021.4.16 — 양자 구분 필요. GEF/UNEP 재정지원으로 개발",UNFCCC / 베트남 천연자원환경부(MONRE),https://unfccc.int/documents/273504,UNFCCC 문서 이용약관,"C-002_BTR (격년투명성보고서, 舊 BUR).xlsx",1.1_observation(측정값),5,
C-002,"BTR[제출년도, 문서 링크, GHG 총배출량(incl./excl. LULUCF), 부문별 NDC 감축 달성량, SSP별 기온 전망, SSP별 강수 전망, 극한기후지수 변화, GDP 손실 추정, 적응 이행 프로그램 수, 재정 지원 수요/수혜, 원본 링크]; 부문별 배출량[에너지, IPPU, 농업, FOLU, 폐기물]",observation,vnm-v121-c-002-obs-6-146425a333f974a6,C-002_reporting_seo_submission_inventory_base_year_btr1,VNM,2026,미제출,—,,,,,,"제출 마감 2024-12-31 경과. 2025년 BTR 종합보고서(FCCC/PA/CMA/2025/16, 101건) 미포함. 제출 시 갱신 필요",UNFCCC / 베트남 천연자원환경부(MONRE),https://unfccc.int/first-biennial-transparency-reports,UNFCCC 문서 이용약관,"C-002_BTR (격년투명성보고서, 舊 BUR).xlsx",1.1_observation(측정값),6,
C-002,"BTR[제출년도, 문서 링크, GHG 총배출량(incl./excl. LULUCF), 부문별 NDC 감축 달성량, SSP별 기온 전망, SSP별 강수 전망, 극한기후지수 변화, GDP 손실 추정, 적응 이행 프로그램 수, 재정 지원 수요/수혜, 원본 링크]; 부문별 배출량[에너지, IPPU, 농업, FOLU, 폐기물]",observation,vnm-v121-c-002-obs-7-72d96b8920aa361d,C-002_reporting_seo_submission_inventory_base_year_gef_unep,VNM,2023,484000,USD,,,,,,BTR1 제출을 위한 역량강화·보고체계 구축 지원사업,UNFCCC / 베트남 천연자원환경부(MONRE),https://www.thegef.org/projects-operations/projects/10963,국제기구 공개 발간물 — 출처 표기 조건,"C-002_BTR (격년투명성보고서, 舊 BUR).xlsx",1.1_observation(측정값),7,
C-002,"BTR[제출년도, 문서 링크, GHG 총배출량(incl./excl. LULUCF), 부문별 NDC 감축 달성량, SSP별 기온 전망, SSP별 강수 전망, 극한기후지수 변화, GDP 손실 추정, 적응 이행 프로그램 수, 재정 지원 수요/수혜, 원본 링크]; 부문별 배출량[에너지, IPPU, 농업, FOLU, 폐기물]",observation,vnm-v121-c-002-obs-8-0bf5e10bfc7cae6c,C-002_ghg_sun_emission,VNM,2010,246830.65,ktCO₂e,,,,,,"공표기준 값. BUR3에서 264,210.67 ktCO₂e로 재산정(+7.0%)",UNFCCC / 베트남 천연자원환경부(MONRE),https://unfccc.int/sites/default/files/resource/Viet%20Nam_BUR3.pdf,UNFCCC 문서 이용약관,"C-002_BTR (격년투명성보고서, 舊 BUR).xlsx",1.1_observation(측정값),8,
C-002,"BTR[제출년도, 문서 링크, GHG 총배출량(incl./excl. LULUCF), 부문별 NDC 감축 달성량, SSP별 기온 전망, SSP별 강수 전망, 극한기후지수 변화, GDP 손실 추정, 적응 이행 프로그램 수, 재정 지원 수요/수혜, 원본 링크]; 부문별 배출량[에너지, IPPU, 농업, FOLU, 폐기물]",observation,vnm-v121-c-002-obs-9-6c1fafa7fe1e6fc9,C-002_ghg_sun_emission_2013,VNM,2013,259024.1,ktCO₂e,,,,,,공표기준 값,UNFCCC / 베트남 천연자원환경부(MONRE),https://unfccc.int/sites/default/files/resource/Viet%20Nam_BUR3.pdf,UNFCCC 문서 이용약관,"C-002_BTR (격년투명성보고서, 舊 BUR).xlsx",1.1_observation(측정값),9,
C-002,"BTR[제출년도, 문서 링크, GHG 총배출량(incl./excl. LULUCF), 부문별 NDC 감축 달성량, SSP별 기온 전망, SSP별 강수 전망, 극한기후지수 변화, GDP 손실 추정, 적응 이행 프로그램 수, 재정 지원 수요/수혜, 원본 링크]; 부문별 배출량[에너지, IPPU, 농업, FOLU, 폐기물]",observation,vnm-v121-c-002-obs-10-2829e9154b53493b,C-002_ghg_sun_emission_2016,VNM,2016,316734.96,ktCO₂e,,,,,,최신 공식 인벤토리. 에너지 65.0%·IPPU 14.6%·AFOLU 13.9%·폐기물 6.5%,UNFCCC / 베트남 천연자원환경부(MONRE),https://unfccc.int/sites/default/files/resource/Viet%20Nam_BUR3.pdf,UNFCCC 문서 이용약관,"C-002_BTR (격년투명성보고서, 舊 BUR).xlsx",1.1_observation(측정값),10,
C-002,"BTR[제출년도, 문서 링크, GHG 총배출량(incl./excl. LULUCF), 부문별 NDC 감축 달성량, SSP별 기온 전망, SSP별 강수 전망, 극한기후지수 변화, GDP 손실 추정, 적응 이행 프로그램 수, 재정 지원 수요/수혜, 원본 링크]; 부문별 배출량[에너지, IPPU, 농업, FOLU, 폐기물]",observation,vnm-v121-c-002-obs-11-0bccbb7ebcbddc6c,C-002_ghg_total_emission,VNM,2010,266049.24,ktCO₂e,,,,,,"246,830.65 + 19,218.59 = 266,049.24",UNFCCC / 베트남 천연자원환경부(MONRE),https://unfccc.int/sites/default/files/resource/Viet%20Nam_BUR3.pdf,UNFCCC 문서 이용약관,"C-002_BTR (격년투명성보고서, 舊 BUR).xlsx",1.1_observation(측정값),11,
C-002,"BTR[제출년도, 문서 링크, GHG 총배출량(incl./excl. LULUCF), 부문별 NDC 감축 달성량, SSP별 기온 전망, SSP별 강수 전망, 극한기후지수 변화, GDP 손실 추정, 적응 이행 프로그램 수, 재정 지원 수요/수혜, 원본 링크]; 부문별 배출량[에너지, IPPU, 농업, FOLU, 폐기물]",observation,vnm-v121-c-002-obs-12-a2966195c07507f8,C-002_ghg_total_emission_2013,VNM,2013,293263.93,ktCO₂e,,,,,,"259,024.10 + 34,239.83 = 293,263.93",UNFCCC / 베트남 천연자원환경부(MONRE),https://unfccc.int/sites/default/files/resource/Viet%20Nam_BUR3.pdf,UNFCCC 문서 이용약관,"C-002_BTR (격년투명성보고서, 舊 BUR).xlsx",1.1_observation(측정값),12,
C-002,"BTR[제출년도, 문서 링크, GHG 총배출량(incl./excl. LULUCF), 부문별 NDC 감축 달성량, SSP별 기온 전망, SSP별 강수 전망, 극한기후지수 변화, GDP 손실 추정, 적응 이행 프로그램 수, 재정 지원 수요/수혜, 원본 링크]; 부문별 배출량[에너지, IPPU, 농업, FOLU, 폐기물]",observation,vnm-v121-c-002-obs-13-4ae596328dadc86e,C-002_ghg_total_emission_2016,VNM,2016,356226.2,ktCO₂e,,,,,,"316,734.96 + 39,491.24 = 356,226.20. ※Table 2.3의 AFOLU CO₂열(−37,489.34)은 LULUCF 흡수가 아니라 3B Land(−39,491.24)+3C CO₂(+2,001.90)의 합이므로 혼용 금지",UNFCCC / 베트남 천연자원환경부(MONRE),https://unfccc.int/sites/default/files/resource/Viet%20Nam_BUR3.pdf,UNFCCC 문서 이용약관,"C-002_BTR (격년투명성보고서, 舊 BUR).xlsx",1.1_observation(측정값),13,
C-002,"BTR[제출년도, 문서 링크, GHG 총배출량(incl./excl. LULUCF), 부문별 NDC 감축 달성량, SSP별 기온 전망, SSP별 강수 전망, 극한기후지수 변화, GDP 손실 추정, 적응 이행 프로그램 수, 재정 지원 수요/수혜, 원본 링크]; 부문별 배출량[에너지, IPPU, 농업, FOLU, 폐기물]",observation,vnm-v121-c-002-obs-14-da52ccafa759046b,C-002_by_sector_emission,VNM,2010,141170.79,ktCO₂e,,,,,,,UNFCCC / 베트남 천연자원환경부(MONRE),https://unfccc.int/sites/default/files/resource/Viet%20Nam_BUR3.pdf,UNFCCC 문서 이용약관,"C-002_BTR (격년투명성보고서, 舊 BUR).xlsx",1.1_observation(측정값),14,
