elementId,elementLabel,dataPresenceStatus,visited,interactionReviewed,semanticReviewed,evidence,selectCount,barCount,note
A-001,"CPI(Corruption Perceptions Index, 부패인식지수)",actual-records,YES,NO_EFFECT,NO,YES,3,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
A-002,"CPIA(Country Policy and Institutional Assessment, 국가 신용도·거버넌스 수준 지표)",actual-records,YES,NO_CONTROL,INCOMPLETE,YES,0,0,
A-003,"GDP[현재가, PPP, 성장률, 1인당]",actual-records,YES,NO_EFFECT,NO,YES,4,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
A-004,빈곤율; 극빈곤율,actual-records,YES,NO_EFFECT,NO,YES,4,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
A-005,"산업구조[농업, 제조, 서비스]",actual-records,YES,NO_EFFECT,NO,YES,1,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
A-006,실업률; 청년실업률,actual-records,YES,NO_EFFECT,NO,YES,4,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
A-007,"인구[총인구, 도시화율]",actual-records,YES,NO_EFFECT,NO,YES,3,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
A-008,지니계수,actual-records,YES,NO_EFFECT,NO,NO,1,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
A-009,"GHG 배출 강도[GDP 대비, 1인당]",actual-records,YES,NO_EFFECT,NO,NO,4,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
A-010,"GHG 배출량[CO₂, CH₄, N₂O, F-gas]",actual-records,YES,NO_EFFECT,NO,NO,2,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
A-011,"GHG 배출량[에너지, 산업공정, 농업, 폐기물]",actual-records,YES,NO_EFFECT,NO,NO,1,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
A-012,총 GHG 배출량(LULUCF 제외),actual-records,YES,NO_EFFECT,NO,NO,4,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
A-013,Climate Watch NDC-SDG linkage,actual-records,YES,NO_EFFECT,NO,NO,2,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
A-014,UNDESA SDG Index Score,actual-records,YES,NO_EFFECT,NO,NO,4,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
A-015,UNDESA SDG 세부목표별 달성도,actual-records,YES,NO_EFFECT,NO,NO,4,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
A-016,1차 에너지 소비 구조,actual-records,YES,NO_EFFECT,NO,YES,1,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
