elementId,elementLabel,categoryCode,detailTemplate,currentDataPresence,currentObservationCount,currentEntityCount,currentIndicatorCount,currentMapFeatureCount,sourceStatus,canonicalWorkbook,canonicalBytes,canonicalSha256,rawDataFileCount,evidenceDocCount,spatialFileCount,processingStatus
A-001,"CPI(Corruption Perceptions Index, 부패인식지수)",A,composition,actual-records,114,0,8,0,CANONICAL_WORKBOOK,file\A-001.xlsx,42839,a2ca028aa2e2ccf6de13912ced7cfd07f9a6b5de3d954a7d03c88f67a117e68b,0,0,0,PENDING
A-002,"CPIA(Country Policy and Institutional Assessment, 국가 신용도·거버넌스 수준 지표)",A,composition,actual-records,420,0,21,0,CANONICAL_WORKBOOK,file\A-002.xlsx,48862,a0b5342ee1586b56c5124d8f17b80e85071e0d8968112dcb0f2e07b8dcf24698,0,0,0,PENDING
A-003,"GDP[현재가, PPP, 성장률, 1인당]",A,composition,actual-records,272,0,7,0,CANONICAL_WORKBOOK,file\A-003.xlsx,48955,3d06d6c8529e840ffde7ba33df2831df88cccaf04a1fd4bd18455e842fd94ff9,0,0,0,PENDING
A-004,빈곤율; 극빈곤율,A,composition,actual-records,62,0,2,0,CANONICAL_WORKBOOK,file\A-004.xlsx,37724,cfa290f2143e88dd3730443b0e28cde1232e3e3c00a706cfb7acb7404984b397,0,0,0,PENDING
A-005,"산업구조[농업, 제조, 서비스]",A,composition,actual-records,141,0,4,0,CANONICAL_WORKBOOK,file\A-005.xlsx,42086,d706146519522e96f51e4209b9877279db9ad9d8f37e20addcb1cc9898d3b6b4,0,0,0,PENDING
A-006,실업률; 청년실업률,A,composition,actual-records,120,0,4,0,CANONICAL_WORKBOOK,file\A-006.xlsx,40299,cfcb18989bbd87a000d040ca50c0f29e42c8d060ddfa2b453f66ec2009d56251,0,0,0,PENDING
A-007,"인구[총인구, 도시화율]",A,composition,actual-records,263,0,4,0,CANONICAL_WORKBOOK,file\A-007.xlsx,46636,5328c9016e47ebdac460ec25897b00d3167d8d50c546eafb114ec9e077e86cff,0,0,0,PENDING
A-008,지니계수,A,indicator,actual-records,31,0,1,0,CANONICAL_WORKBOOK,file\A-008.xlsx,36180,ca9f896a82d6c0ae2928cba1493dd6ae79e437ae8d00ed4e731c6e5eb8629d14,0,0,0,PENDING
A-009,"GHG 배출 강도[GDP 대비, 1인당]",A,composition,actual-records,90,0,2,0,CANONICAL_WORKBOOK,file\A-009.xlsx,39016,d8a644cd7f45a3515858542b70ef721683f57d87b01c44a6658ebf95d91888d7,1,0,0,PENDING
A-010,"GHG 배출량[CO₂, CH₄, N₂O, F-gas]",A,composition,actual-records,400,0,8,0,CANONICAL_WORKBOOK,file\A-010.xlsx,54295,7425ed2cd942ce251e1657f5610df8bfb0da0b3aa6114812762c219a2009c7f3,4,0,0,PENDING
A-011,"GHG 배출량[에너지, 산업공정, 농업, 폐기물]",A,composition,actual-records,495,0,9,0,CANONICAL_WORKBOOK,file\A-011.xlsx,59362,9c0bccf8ccbd7099326d5d8fe8b423baf1261a4fab849a107f38324de5ac7a63,4,0,0,PENDING
A-012,총 GHG 배출량(LULUCF 제외),A,composition,actual-records,103,0,3,0,CANONICAL_WORKBOOK,file\A-012.xlsx,41220,c46b270eb47159bdd23c51e1a36dca3b04bd78d898fd207d463da3a55d10dd75,1,0,0,PENDING
A-013,Climate Watch NDC-SDG linkage,A,entity,actual-records,41,365,42,0,CANONICAL_WORKBOOK,file\A-013.xlsx,64762,66b881d8576aa80a6fe94918cf727511c3eac121a155558e8148dd38709928eb,0,1,0,PENDING
A-014,UNDESA SDG Index Score,A,composition,actual-records,494,0,19,0,CANONICAL_WORKBOOK,file\A-014.xlsx,59013,78105f608aebcb5db6fd705d77b4b44f94598cfc0298d54fa29d5a90c79f8799,2,0,0,PENDING
A-015,UNDESA SDG 세부목표별 달성도,A,composition,actual-records,101,0,101,0,CANONICAL_WORKBOOK,file\A-015.xlsx,63065,d288fec8e01abb48410c7302edbf7e57142daca7d35888263b97ffabd22f40d4,0,0,0,PENDING
