elementId,geometryKind,status,renderer,expectedKey,expectedName,expectedValue,expectedUnit,expectedPeriod,expectedSource,layerSelected,layerRendered,targetPresentInRender,hitPointResolved,stageReached,cameraSettled,zoomedToTarget,occludedBy,reachRecovery,reachTrail,layerListState,overlapChoices,overlapResolved,hoverPopupIdentifiesTarget,hoverIdentityBasis,hoverWaitMs,clickPanelIdentifiesTarget,clickIdentityBasis,clickWaitMs,hoverAndPanelAgree,expectedVariableSelected,expectedPeriodSelected,dataScopeReady,controlChangedResult,expectedValueObserved,expectedValueShown,expectedUnitObserved,expectedPeriodObserved,evidence,screenshot,screenshotSha256,pageRuntimeEvents,note
"A-023","point","REVIEWED","MAPLIBRE","v124-a-023-entity-00001","Kon Dao","수력","","","packs entity A-023 · fuelType|primaryFuel","YES","YES","YES","YES","change-control","STILL","ZOOMED_IN_9_STEPS","","NONE_NEEDED","initial=ok","OPEN","","","YES","STABLE_KEY","1","YES","STABLE_KEY","1","YES","NOT_ATTEMPTED","NOT_ATTEMPTED","NOT_CHECKED","SINGLE_OPTION","MATCH_IN_POPUP_FIELD","발전원 수력 · 용량 1 MW(메가와트)","","","YES","screenshots/map-a-023-point.png","10184cb9696607f44055e858fbec667640c39658e066d255979ddaa8200511ea","1","renderedFeatures=25; matched v124-a-023-entity-00001 (Point)"
"A-024","line","REVIEWED","MAPLIBRE","A-024-WB2016-0001","A-024-WB2016-0001","116.87798","km","2016","geometry/vnm-transmission-network.geojson","YES","YES","YES","YES","change-control","STILL","","","COLLAPSED_LEGEND","initial=dd > collapse:legend=REACHABLE","OPEN>ALREADY_REACHABLE","","","YES","STABLE_KEY","1","YES","STABLE_KEY","1","YES","NOT_ATTEMPTED","NOT_ATTEMPTED","YES_IN_10MS","RENDERED_SCOPE_CHANGED_TO:110 kV(585->412 features)","MATCH_IN_DESIGNED_FIELD","116.878 km","true","true","YES","screenshots/map-a-024-line.png","a3039943557d9e727ef78376af0b7d9a231874adb4ec9bf5a906aec29a9e3a2c","1","renderedFeatures=585; matched A-024-WB2016-0001 (MultiLineString)"
"C-016","polygon","REVIEWED","MAPLIBRE","VN-01","Lai Châu","50","MW","2025-2030","spatial/layers/c-016.json","YES","YES","YES","YES","change-control","STILL","","","NONE_NEEDED","initial=ok","OPEN>ALREADY_REACHABLE","","","YES","STABLE_KEY","2","YES","STABLE_KEY","1","YES","ALREADY_SELECTED","ALREADY_SELECTED","YES_IN_3MS","RENDERED_SCOPE_CHANGED_TO:바이오매스발전(điện sinh khối) 계획용량(63->63 features)","MATCH_IN_DESIGNED_FIELD","50","true","true","YES","screenshots/map-c-016-polygon.png","f6d97c72a9f1a0f278e4997ddf59e857026330aa4b55b2f5e2d324211d020672","1","renderedFeatures=63; matched VN-01 (Polygon)"
"B-031","polygon","REVIEWED","MAPLIBRE","VN-01","Lai Châu","906237","ha","2010","spatial/layers/b-031.json","YES","YES","YES","YES","change-control","STILL","","","NONE_NEEDED","initial=ok","OPEN>ALREADY_REACHABLE","","","YES","STABLE_KEY","1","YES","STABLE_KEY","1","YES","ALREADY_SELECTED","ALREADY_SELECTED","YES_IN_2MS","RENDERED_SCOPE_CHANGED_TO:성(省)별 분석대상 면적(63->63 features)","MATCH_IN_DESIGNED_FIELD","906,237","true","true","YES","screenshots/map-b-031-polygon.png","1375e71b4e970e26a9e46ccb314c950fb471badf3018be0157628c37894de575","1","renderedFeatures=63; matched VN-01 (Polygon)"
"B-032","polygon","REVIEWED","MAPLIBRE","VN-01","Lai Châu","61.72","%","2010","spatial/layers/b-032.json","YES","YES","YES","YES","change-control","STILL","","","NONE_NEEDED","initial=ok","OPEN>ALREADY_REACHABLE","","","YES","STABLE_KEY","1","YES","STABLE_KEY","1","YES","ALREADY_SELECTED","ALREADY_SELECTED","YES_IN_6MS","SINGLE_OPTION","MATCH_IN_DESIGNED_FIELD","61.7","true","true","YES","screenshots/map-b-032-polygon.png","420417a17e734e0834161886b27ea06a5ff3e8c18c9003cbfef11f221e9fda62","1","renderedFeatures=63; matched VN-01 (Polygon)"
"B-033","polygon","REVIEWED","MAPLIBRE","VN-01","Lai Châu","937.695","ha","2024","spatial/layers/b-033.json","YES","YES","YES","YES","change-control","STILL","","","NONE_NEEDED","initial=ok","OPEN>ALREADY_REACHABLE","","","YES","STABLE_KEY","1","YES","STABLE_KEY","14","YES","ALREADY_SELECTED","ALREADY_SELECTED","YES_IN_2MS","SINGLE_OPTION","MATCH_IN_DESIGNED_FIELD","937.7","true","true","YES","screenshots/map-b-033-polygon.png","5434ef40f3ee35ecaebf6d34120848c9c3b805dc70116cd1befc95f15a8370f3","1","renderedFeatures=63; matched VN-01 (Polygon)"
"B-034","polygon","REVIEWED","MAPLIBRE","VN-01","Lai Châu","-822213","Mg CO2e/yr","2001–2024","spatial/layers/b-034.json","YES","YES","YES","YES","change-control","STILL","","","NONE_NEEDED","initial=ok","OPEN>ALREADY_REACHABLE","","","YES","STABLE_KEY","0","YES","STABLE_KEY","14","YES","ALREADY_SELECTED","ALREADY_SELECTED","YES_IN_5MS","RENDERED_SCOPE_CHANGED_TO:산림탄소 총배출(연평균)(63->63 features)","MATCH_IN_DESIGNED_FIELD","-822,213","true","true","YES","screenshots/map-b-034-polygon.png","40653d66c76f91fb1a206de7699f240cd4ee8b684ba843c430efdedfebd71b6f","1","renderedFeatures=63; matched VN-01 (Polygon)"
"B-021","polygon","REVIEWED","MAPLIBRE","VN-01","Lai Châu","44.7","지수","2023","spatial/layers/b-021.json","YES","YES","YES","YES","change-control","STILL","","","NONE_NEEDED","initial=ok","OPEN>ALREADY_REACHABLE","","","YES","STABLE_KEY","1","YES","STABLE_KEY","1","YES","OPTION_ABSENT","ALREADY_SELECTED","YES_IN_2MS","RENDERED_SCOPE_CHANGED_TO:1인당 GNI(로그)(63->63 features)","MATCH_IN_DESIGNED_FIELD","44.7 / 100","true","true","YES","screenshots/map-b-021-polygon.png","0c50ab801b591dff4544c9c8b02011f72b26c1d03c587c43afd243325ab97421","1","renderedFeatures=63; matched VN-01 (Polygon)"
"B-048","point","REVIEWED","MAPLIBRE","v124-b-048-entity-00001","Ban Phuc","니켈","","","packs entity B-048 · 광종","YES","YES","YES","YES","change-control","STILL","","","NONE_NEEDED","initial=ok","OPEN","","","YES","STABLE_KEY","1","YES","STABLE_KEY","1","YES","NOT_ATTEMPTED","NOT_ATTEMPTED","NOT_CHECKED","SINGLE_OPTION","MATCH_IN_DESIGNED_FIELD","니켈","","","YES","screenshots/map-b-048-point.png","cb54d064316dc9b1a92bb616c04e697f038c36cf028dd0740108fd342079b449","1","renderedFeatures=2; matched v124-b-048-entity-00001 (Point)"
"C-025","point","REVIEWED","MAPLIBRE","v124-c-025-entity-00001","Dak Srong 3A Hydr","CDM","","","packs entity C-025 · 속성5_등록표준_출처","YES","YES","YES","YES","change-control","STILL","ZOOMED_IN_2_STEPS","","NONE_NEEDED","initial=ok","OPEN","","","YES","STABLE_KEY","5","YES","STABLE_KEY","14","YES","NOT_ATTEMPTED","NOT_ATTEMPTED","NOT_CHECKED","SINGLE_OPTION","MATCH_IN_DESIGNED_FIELD","CDM","","","YES","screenshots/map-c-025-point.png","ee7ea6291c676c45b301b8eb08761df35a0cdd52baaaae0a9d595d6b62b2dfe9","1","renderedFeatures=262; matched v124-c-025-entity-00001 (Point)"
"D-008","polygon","REVIEWED","MAPLIBRE","VN-27","Quảng Nam","850000000000","VND","2010-2013","spatial/layers/d-008.json","YES","YES","YES","YES","change-control","STILL","","","NONE_NEEDED","initial=ok","OPEN>ALREADY_REACHABLE","","","YES","STABLE_KEY","1","YES","STABLE_KEY","1","YES","ALREADY_SELECTED","ALREADY_SELECTED","YES_IN_3MS","SINGLE_OPTION","MATCH_IN_DESIGNED_FIELD","850,000,000,000","true","true","YES","screenshots/map-d-008-polygon.png","bdc0484d03e67420f74ffad27f8b11a249c69deee1947e032ebc72a653afff50","1","renderedFeatures=63; matched VN-27 (Polygon)"
"D-018","regional-scope","REVIEWED","MAPLIBRE","v124-d-018-entity-00001:site:1","Young Basin","Young Basin","","","spatial/projects/d-018-regional.geojson","YES","YES","YES","YES","change-control","STILL","","","NONE_NEEDED","initial=ok","OPEN","주 분석적응기금 사업지역 협력사업 · Mekong EbA South: Enhancing Climate Resilience in the Greater Mekong Sub-region through Ecosystem-based Adaptation in the Context of South-South Cooperation (Thailand, Viet Nam) | 주 분석적응기금 사업세부 활동지역 · Young Basin | 주 분석","PICKED_TARGET","YES","OVERLAP_PICKER:ABSENT","1","YES","STABLE_KEY","11","YES","NOT_ATTEMPTED","NOT_ATTEMPTED","NOT_CHECKED","SINGLE_OPTION","MATCH_IN_DESIGNED_FIELD","Young Basin (Thailand) · Tram Chim National Park 주변 (Viet Nam)","","","YES","screenshots/map-d-018-regional-scope.png","3f11a02172a7e348d9dcb89a3dd0071da43192af03cbe86f1d337b9516cbc1e5","1","renderedFeatures=4; matched v124-d-018-entity-00001:site:1 (Point)"
