elementId,inCatalog,state,oldBytes,newBytes,byteDelta,oldSha256,newSha256,newFileName
A-001,True,CONTENT_CHANGED,87806,42839,-44967,d1a5eccbbdf75ccb,a2ca028aa2e2ccf6,A-001.xlsx
A-002,True,CONTENT_CHANGED,101231,48862,-52369,d1d9ab3220a2a948,a0b5342ee1586b56,A-002.xlsx
A-003,True,CONTENT_CHANGED,93499,48955,-44544,12d15db0ea31d428,3d06d6c8529e840f,A-003.xlsx
A-004,True,CONTENT_CHANGED,83315,37724,-45591,8a1e1560a80266e4,cfa290f2143e88dd,A-004.xlsx
A-005,True,CONTENT_CHANGED,86968,42086,-44882,b510803e0d433377,d706146519522e96,A-005.xlsx
A-006,True,CONTENT_CHANGED,85445,40299,-45146,c68cdfb74fd917e3,cfcb18989bbd87a0,A-006.xlsx
A-007,True,CONTENT_CHANGED,91206,46636,-44570,1824df875a22ffb9,5328c9016e47ebda,A-007.xlsx
A-008,True,CONTENT_CHANGED,81606,36180,-45426,13eb02ac29e70391,ca9f896a82d6c0ae,A-008.xlsx
A-009,True,CONTENT_CHANGED,84087,39016,-45071,a69b420dad9082da,d8a644cd7f45a351,A-009.xlsx
A-010,True,CONTENT_CHANGED,98609,54295,-44314,bb0831f95300b14f,7425ed2cd942ce25,A-010.xlsx
A-011,True,CONTENT_CHANGED,103413,59362,-44051,81f570aa7b72b523,9c0bccf8ccbd7099,A-011.xlsx
A-012,True,CONTENT_CHANGED,86362,41220,-45142,98f35a0d46ef2f7b,c46b270eb47159bd,A-012.xlsx
A-013,True,CONTENT_CHANGED,123763,64762,-59001,2c512205494dae45,66b881d8576aa80a,A-013.xlsx
A-014,True,CONTENT_CHANGED,103606,59013,-44593,670ba2eac347062a,78105f608aebcb5d,A-014.xlsx
A-015,True,CONTENT_CHANGED,120967,63065,-57902,a6cd6f441c2deac3,d288fec8e01abb48,A-015.xlsx
A-016,True,CONTENT_CHANGED,98903,55147,-43756,68633db19de05d49,ba7d6c3e1981cd03,A-016.xlsx
A-017,True,CONTENT_CHANGED,90139,43062,-47077,e53d8a4d5ac828db,218b9be5b284e4e5,A-017.xlsx
A-018,True,CONTENT_CHANGED,110885,65955,-44930,47c03aa44aa41af4,63f4762b5505d106,A-018.xlsx
A-019,True,CONTENT_CHANGED,81857,36489,-45368,cd21283c548a18da,0c06e6f0cd48d9e1,A-019.xlsx
A-020,True,CONTENT_CHANGED,82614,37546,-45068,9bec94ce4c89be66,d240b820d87de115,A-020.xlsx
A-021,True,CONTENT_CHANGED,83666,38908,-44758,c3452254c7270ae1,9c249ddb02e6f85b,A-021.xlsx
A-022,True,CONTENT_CHANGED,91242,42613,-48629,d8d658c58f3271c5,38d2e4188f6b5682,A-022.xlsx
A-023,True,CONTENT_CHANGED,227668,58181,-169487,834bfe67992f3cba,6aa4b6f958cce33d,A-023.xlsx
A-024,True,CONTENT_CHANGED,133683,90783,-42900,bb37953eea874854,cdad0a8f677d1eb4,A-024.xlsx
A-025,True,CONTENT_CHANGED,82593,36550,-46043,c8c3bab471fcf93c,cde5eb085cee40c1,A-025.xlsx
A-026,True,CONTENT_CHANGED,82503,37264,-45239,3d16d467353b144d,466f5157a5dbc477,A-026.xlsx
A-027,True,CONTENT_CHANGED,91490,43657,-47833,84244f812db69b6a,27bae84762a11419,A-027.xlsx
A-028,True,CONTENT_CHANGED,86583,40388,-46195,96c538eb8fd1f2fe,e431fe5bb40d91d4,A-028.xlsx
A-029,True,CONTENT_CHANGED,84620,38884,-45736,5f98ec838af86e05,2be794c6ba4e0fc9,A-029.xlsx
A-030,True,CONTENT_CHANGED,82042,37395,-44647,f03a9119a4fb3651,541dc5e2663cd1db,A-030.xlsx
A-031,True,CONTENT_CHANGED,83636,38421,-45215,4615c00e6a1996eb,7ce88c6be6158382,A-031.xlsx
A-032,True,CONTENT_CHANGED,85767,40901,-44866,648162234cf4e97d,ba399e659fb1374c,A-032.xlsx
A-033,True,CONTENT_CHANGED,83816,38866,-44950,a217a5443cc58974,4aee4f025d9a5cc4,A-033.xlsx
B-001,True,CONTENT_CHANGED,43201,20804,-22397,4f8cc81911c00e65,4225a47f3ae18580,B-001.xlsx
B-002,True,CONTENT_CHANGED,40758,17829,-22929,92e1070d2fa74e4e,176b68d333216db6,B-002.xlsx
B-003,True,CONTENT_CHANGED,51882,1044595,992713,9e2408456f4d5e76,671228e7b578bac2,B-003.xlsx
B-004,True,CONTENT_CHANGED,116392,4291633,4175241,e702aa9ec9d1d026,cfd733787f71e3c1,B-004.xlsx
B-005,True,CONTENT_CHANGED,53176,3440357,3387181,e814395ec56f95b8,32c4f86fab2dff67,B-005.xlsx
B-006,True,CONTENT_CHANGED,89229,4339383,4250154,fa5095e1c54fa293,35b69704f9d2bd0d,B-006.xlsx
B-007,True,CONTENT_CHANGED,80893,4205520,4124627,70ed08a0d5baadaf,3d3e8a300a6c5682,B-007.xlsx
B-008,True,CONTENT_CHANGED,138154,176326,38172,50a0eb52b9884ceb,daa5306f24652f15,B-008.xlsx
B-009,True,CONTENT_CHANGED,101707,89636,-12071,431be87b44e7c887,3bcee89227c9e43a,B-009.xlsx
B-010,True,CONTENT_CHANGED,37851,15801,-22050,775f4aa5ce66f41c,f9b74ee3edf63e85,B-010.xlsx
B-011,True,CONTENT_CHANGED,96885,79929,-16956,6af1705f3ce0f07b,312f8218b3bd78e6,B-011.xlsx
B-012,True,CONTENT_CHANGED,61824,69505,7681,ec1b020bd0d627ce,31969f365fe43afc,B-012.xlsx
B-013,True,CONTENT_CHANGED,43770,21220,-22550,b125d9fca363c8da,e69c74ec2bd1d4cf,B-013.xlsx
B-014,True,CONTENT_CHANGED,36515,13957,-22558,438ed53848d95374,06e3de2a215638e1,B-014.xlsx
B-015,True,CONTENT_CHANGED,38990,17599,-21391,6cfc8e176a5b19ec,c690cb82b1166316,B-015.xlsx
B-016,True,CONTENT_CHANGED,36753,15118,-21635,afa4c4a1ca18f294,84f14bee3cac528b,B-016.xlsx
B-017,True,CONTENT_CHANGED,375227,482722,107495,556367ce300aafd2,7a206ca27d543aef,B-017.xlsx
B-018,True,CONTENT_CHANGED,49419,27882,-21537,b4ac51e329ccb0ed,6b29e51364735c87,B-018.xlsx
B-019,True,CONTENT_CHANGED,40034,18140,-21894,5dafec0ba4c11b21,a45d47ded50cdaa4,B-019.xlsx
