sourceId,relPath,topFolder,fileName,ext,bytes,sha256,mtime,elementId,role,readState,dupGroup
S00001,"A. 국가 기본 정보\A.1. 사회·경제 및 SDG\A.1.a. 사회·경제 현황\A-001_CPI(Corruption Perceptions Index, 부패인식지수).xlsx",A. 국가 기본 정보,"A-001_CPI(Corruption Perceptions Index, 부패인식지수).xlsx",xlsx,42839,a2ca028aa2e2ccf6de13912ced7cfd07f9a6b5de3d954a7d03c88f67a117e68b,2026-09-07T23:01:54.299Z,,주 데이터,OK,S00001
S00002,"A. 국가 기본 정보\A.1. 사회·경제 및 SDG\A.1.a. 사회·경제 현황\A-002_CPIA(Country Policy and Institutional Assessment, 국가 신용도·거버넌스 수준 지표).xlsx",A. 국가 기본 정보,"A-002_CPIA(Country Policy and Institutional Assessment, 국가 신용도·거버넌스 수준 지표).xlsx",xlsx,48862,a0b5342ee1586b56c5124d8f17b80e85071e0d8968112dcb0f2e07b8dcf24698,2026-09-07T23:01:54.320Z,,주 데이터,OK,S00002
S00003,"A. 국가 기본 정보\A.1. 사회·경제 및 SDG\A.1.a. 사회·경제 현황\A-003_GDP[현재가, PPP, 성장률, 1인당].xlsx",A. 국가 기본 정보,"A-003_GDP[현재가, PPP, 성장률, 1인당].xlsx",xlsx,48955,3d06d6c8529e840ffde7ba33df2831df88cccaf04a1fd4bd18455e842fd94ff9,2026-09-07T23:01:54.341Z,,주 데이터,OK,S00003
S00004,A. 국가 기본 정보\A.1. 사회·경제 및 SDG\A.1.a. 사회·경제 현황\A-004_빈곤율; 극빈곤율.xlsx,A. 국가 기본 정보,A-004_빈곤율; 극빈곤율.xlsx,xlsx,37724,cfa290f2143e88dd3730443b0e28cde1232e3e3c00a706cfb7acb7404984b397,2026-09-07T23:01:54.364Z,,주 데이터,OK,S00004
S00005,"A. 국가 기본 정보\A.1. 사회·경제 및 SDG\A.1.a. 사회·경제 현황\A-005_산업구조[농업, 제조, 서비스].xlsx",A. 국가 기본 정보,"A-005_산업구조[농업, 제조, 서비스].xlsx",xlsx,42086,d706146519522e96f51e4209b9877279db9ad9d8f37e20addcb1cc9898d3b6b4,2026-09-07T23:01:54.392Z,,주 데이터,OK,S00005
S00006,A. 국가 기본 정보\A.1. 사회·경제 및 SDG\A.1.a. 사회·경제 현황\A-006_실업률; 청년실업률.xlsx,A. 국가 기본 정보,A-006_실업률; 청년실업률.xlsx,xlsx,40299,cfcb18989bbd87a000d040ca50c0f29e42c8d060ddfa2b453f66ec2009d56251,2026-09-07T23:01:54.414Z,,주 데이터,OK,S00006
S00007,"A. 국가 기본 정보\A.1. 사회·경제 및 SDG\A.1.a. 사회·경제 현황\A-007_인구[총인구, 도시화율].xlsx",A. 국가 기본 정보,"A-007_인구[총인구, 도시화율].xlsx",xlsx,46636,5328c9016e47ebdac460ec25897b00d3167d8d50c546eafb114ec9e077e86cff,2026-09-07T23:01:54.438Z,,주 데이터,OK,S00007
S00008,A. 국가 기본 정보\A.1. 사회·경제 및 SDG\A.1.a. 사회·경제 현황\A-008_지니계수.xlsx,A. 국가 기본 정보,A-008_지니계수.xlsx,xlsx,36180,ca9f896a82d6c0ae2928cba1493dd6ae79e437ae8d00ed4e731c6e5eb8629d14,2026-09-07T23:01:54.459Z,,주 데이터,OK,S00008
S00009,A. 국가 기본 정보\A.1. 사회·경제 및 SDG\A.1.a. 사회·경제 현황\raw\A-005_P_Data_Extract_From_World_Development_Indicators.xlsx,A. 국가 기본 정보,A-005_P_Data_Extract_From_World_Development_Indicators.xlsx,xlsx,8483,351a27455fc64dbdf2645741d509ab7d85e9049f45d7d57ab1535c413d6dd105,2026-09-07T23:01:54.494Z,,주 데이터,OK,
S00010,A. 국가 기본 정보\A.1. 사회·경제 및 SDG\A.1.a. 사회·경제 현황\raw\A-005_산업구조_WDI_수집본.xlsx,A. 국가 기본 정보,A-005_산업구조_WDI_수집본.xlsx,xlsx,10925,7e0fcb167991aa451771e32957b7bc86754abef44386f177242e6186482e134f,2026-09-07T23:01:54.514Z,,중복(동일 내용),OK,S00017
