대상,실제방문,조작검토,의미검토,viewport,증거,상태
A-016,이전세션,이전세션,이전세션,958x918,없음,PENDING_EVIDENCE
B-005,이전세션,이전세션,이전세션,958x918,없음,PENDING_EVIDENCE
D-011,이전세션,이전세션,이전세션,958x918,없음,PENDING_EVIDENCE
A-017,예,예,예,958x918,"screenshots/a017-*.jpg, screenshots/a017-*.png",REVIEWED
B-008,예,예,예,958x918,"screenshots/b008-*.jpg, screenshots/b008-*.png",REVIEWED
B-034,예,예,예,958x918,"screenshots/b034-*.jpg",REVIEWED
D-022,예,예,예,958x918,"screenshots/d022-*.jpg",REVIEWED
D-025,예,예,예,"958x918 / 958x862","screenshots/d025-*.jpg",REVIEWED
지도/발전소,예,예,예,958x918,"screenshots/map-powerplant-*.jpg, screenshots/map-powerplant-*.png",REVIEWED_PARTIAL(기간·지표변경 미실시)
지도/베트남 송전망,예,예,예,958x918,"screenshots/map-grid-*.jpg, screenshots/map-grid-*.png",REVIEWED_PARTIAL(기간·지표변경 미실시)
지도/산림 탄소,예,예,예,958x918,"screenshots/map-forestcarbon-*.jpg",REVIEWED_PARTIAL(기간·지표변경 미실시)
지도/재생에너지 지역계획,예,예,예,958x918,"screenshots/map-replan-*.jpg, screenshots/map-replan-*.png",REVIEWED_PARTIAL(기간·지표변경 미실시)
지도/지역 취약성(GVI),예,예,예,958x918,"screenshots/map-gvi-*.jpg, screenshots/map-gvi-*.png",REVIEWED_PARTIAL(기간·지표변경 미실시)
지도/적응기금 사업,예,예,예,958x918,"screenshots/map-adaptfund-*.jpg",REVIEWED_PARTIAL(기간·지표변경 미실시)
