elementId,publicTitle,dataType,primaryRenderer,specializedRenderer,measureCount,dimensionCount,unitFamilies,explanationRequired,interpretationStatus,directionStatus,scaleStatus,benchmarkStatus,continuousTimeSeriesEligible,sameDenominatorAcrossSeries,sameMethodologyAcrossTime,sameGeographyAcrossTime,missingValuePolicy,mapLinked,mapAggregationLevel,tooltipStatus,publicCopyStatus,visualizationFitResult,finalDisposition
A-001,부패인식지수(CPI),numeric,score-trend,,8,3,count | other | score,true,covered,covered,not-applicable,group-scope-declared,true,,false,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
A-002,국가 정책·제도 평가(CPIA),numeric,score-trend,CpiaPolicyCapacityAnalysisV126,21,3,score,true,covered,covered,covered,not-applicable,true,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,specialized-required,accepted-specialized-public-analysis
A-003,국내총생산 및 경제성장,numeric,multi-metric-trend,,7,3,currency | other | percent,false,not-required,not-required,not-applicable,not-required,true,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
A-004,빈곤율 및 극빈곤율,numeric,kpi-trend,,2,3,percent,false,not-required,not-required,not-applicable,not-required,true,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
A-005,산업구조,numeric,composition-trend,,1,3,percent,false,not-required,not-required,not-applicable,not-required,true,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
A-006,고용 및 실업,numeric,kpi-trend,,2,3,percent,false,not-required,not-required,not-applicable,not-required,true,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
A-007,인구 및 도시화,numeric,kpi-trend,,4,2,count | percent,false,not-required,not-required,not-applicable,not-required,true,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
A-008,소득 불평등(지니계수),numeric,score-trend,,1,2,other,true,covered,covered,covered,not-applicable,true,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
A-009,온실가스 배출집약도,numeric,kpi-trend,,2,3,emissions,false,not-required,not-required,not-applicable,not-required,true,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
A-010,온실가스 종류별 배출량,numeric,stacked-emissions,,2,3,emissions | other,false,not-required,not-required,not-applicable,not-required,true,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
A-011,부문별 온실가스 배출량,numeric,stacked-emissions,,1,3,emissions,false,not-required,not-required,not-applicable,not-required,true,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
A-012,온실가스 총배출량,numeric,kpi-trend,,3,3,emissions,false,not-required,not-required,not-applicable,not-required,true,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
A-013,NDC와 지속가능발전목표 연계,numeric | text,evidence-matrix,,2,6,count | text,true,covered,covered,not-applicable,not-applicable,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
A-014,지속가능발전목표 지수,numeric,score-trend,,3,3,other | score,true,covered,covered,covered,group-scope-declared,true,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
A-015,지속가능발전목표 세부 달성도,numeric,evidence-matrix,,17,4,score,true,covered,covered,covered,not-applicable,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
A-016,1차 에너지 소비구조,numeric,composition-trend,,1,4,other,false,not-required,not-required,not-applicable,not-required,true,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
A-017,발전원별 균등화 발전비용,numeric,technology-comparison,,1,4,energy,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
A-018,발전설비 용량,numeric,composition-trend,,1,4,capacity,false,not-required,not-required,not-applicable,not-required,true,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
A-019,송배전 손실률,numeric,kpi-trend,,1,3,percent,false,not-required,not-required,not-applicable,not-required,true,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
A-020,재생에너지 비중,numeric,kpi-trend,,1,4,percent,false,not-required,not-required,not-applicable,not-required,true,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
A-021,전력 접근률,numeric,kpi-trend,,1,4,percent,false,not-required,not-required,not-applicable,not-required,true,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
A-022,정전 빈도와 지속시간,numeric,kpi-trend,,3,4,other,false,not-required,not-required,not-applicable,not-required,true,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
A-023,발전소 현황,geo_point,spatial-analysis,,1,5,capacity,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,true,시설·사업 위치,covered,approved,fit,accepted-public-analysis
A-024,베트남 송전망,geo_line | numeric,spatial-analysis,,2,5,other | percent,false,not-required,not-required,not-applicable,not-required,false,true,true,true,preserve-null-show-source-reason-never-impute-zero,true,송전망 구간,covered,approved,fit,accepted-public-analysis
A-025,탄소포집·저장 시설,geo_point | numeric,spatial-analysis,,2,7,count,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
A-026,건물 분포,numeric | text,spatial-analysis,,4,4,count | percent | text,false,not-required,not-required,not-applicable,not-required,false,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
A-027,육상교통 인프라,numeric | text,spatial-analysis,,8,4,count | percent | text,false,not-required,not-required,not-applicable,not-required,false,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
A-028,해안·수자원 인프라,numeric | text,spatial-analysis,,8,4,count | percent | text,false,not-required,not-required,not-applicable,not-required,false,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
A-029,자유무역협정 체결 현황,date | numeric,policy-timeline,,2,5,count,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
A-030,한국과의 교역 규모,numeric,technology-comparison,,1,3,currency,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
A-031,물류성과지수,numeric,score-trend,,1,3,score,true,covered,covered,covered,group-scope-declared,true,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
A-032,중간재 교역 규모,numeric,technology-comparison,,2,3,currency | percent,false,not-required,not-required,not-applicable,not-required,false,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
A-033,해운 연결성,numeric,score-trend,,1,3,other,true,covered,covered,not-applicable,not-applicable,true,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
B-001,건기와 우기,numeric | text,seasonality,,5,2,other | text,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
