elementId,publicTitle,mapSelected,currentMapLayer,spatialDataExists,geometryType,spatialScopeType,coordinateMeaning,aggregationLevel,sourceSpatialUnit,targetSpatialUnit,spatialSemanticsVerified,mapBenefit,exclusionReason,finalMapDisposition
A-001,부패인식지수(CPI),false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
A-002,국가 정책·제도 평가(CPIA),false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
A-003,국내총생산 및 경제성장,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
A-004,빈곤율 및 극빈곤율,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
A-005,산업구조,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
A-006,고용 및 실업,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
A-007,인구 및 도시화,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
A-008,소득 불평등(지니계수),false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
A-009,온실가스 배출집약도,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
A-010,온실가스 종류별 배출량,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
A-011,부문별 온실가스 배출량,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
A-012,온실가스 총배출량,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
A-013,NDC와 지속가능발전목표 연계,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
A-014,지속가능발전목표 지수,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
A-015,지속가능발전목표 세부 달성도,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
A-016,1차 에너지 소비구조,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
A-017,발전원별 균등화 발전비용,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
A-018,발전설비 용량,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
