elementId,publicTitle,primaryPublicQuestion,primaryVisualization,secondaryVisualization,selectableDimensions,yearBehavior,unitBehavior,mapBehavior,listTableBehavior,benchmarkReference,runtimeVerified
A-001,부패인식지수(CPI),부패인식지수(CPI)의 핵심 값과 시간 변화는 어떠한가,핵심 점수와 연도별 추이,접힌 원자료 표,측정항목 | 세부 분류 | 연도,1997–2025년 비연속 단면·분포 비교,단위별 분리: 건 · 위 · 점,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
A-002,국가 정책·제도 평가(CPIA),국가 정책·제도 평가(CPIA)의 핵심 값과 시간 변화는 어떠한가,핵심 점수와 연도별 추이,접힌 원자료 표,측정항목 | 분류 | 연도,2005–2024년 전체 추이와 기간 선택,점 단일 축,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
A-003,국내총생산 및 경제성장,국내총생산 및 경제성장의 핵심 값과 시간 변화는 어떠한가,측정항목별 연도 추이,접힌 원자료 표,측정항목 | 분류 | 세부 분류 | 연도,1985–2025년 전체 추이와 기간 선택,단위별 분리: USD · 국제달러 · %,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
A-004,빈곤율 및 극빈곤율,빈곤율 및 극빈곤율의 핵심 값과 시간 변화는 어떠한가,핵심현황과 연도별 추이,접힌 원자료 표,측정항목 | 분류 | 세부 분류 | 연도,1992–2022년 전체 추이와 기간 선택,% 단일 축,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
A-005,산업구조,산업구조의 절대량과 구성비가 시간에 따라 어떻게 달라졌는가,연도별 구성 변화,선택연도 구성 상세,분류 | 세부 분류 | 연도,1986–2025년 전체 추이와 기간 선택,% 단일 축,데이터 상세 분석만 제공,접힌 원자료 표,Our World in Data,true
A-006,고용 및 실업,고용 및 실업의 핵심 값과 시간 변화는 어떠한가,핵심현황과 연도별 추이,접힌 원자료 표,측정항목 | 분류 | 세부 분류 | 연도,1991–2025년 전체 추이와 기간 선택,% 단일 축,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
A-007,인구 및 도시화,인구 및 도시화의 핵심 값과 시간 변화는 어떠한가,핵심현황과 연도별 추이,접힌 원자료 표,측정항목 | 세부 분류 | 연도,1960–2025년 전체 추이와 기간 선택,단위별 분리: 명 · %,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
A-008,소득 불평등(지니계수),소득 불평등(지니계수)의 핵심 값과 시간 변화는 어떠한가,핵심 점수와 연도별 추이,접힌 원자료 표,연도,1992–2022년 전체 추이와 기간 선택,지수 단일 축,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
A-009,온실가스 배출집약도,온실가스 배출집약도의 핵심 값과 시간 변화는 어떠한가,핵심현황과 연도별 추이,접힌 원자료 표,측정항목 | 분류 | 세부 분류 | 연도,1970–2024년 전체 추이와 기간 선택,"단위별 분리: tCO2eq/1,000 국제달러 · tCO2eq/인",데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
A-010,온실가스 종류별 배출량,온실가스 종류별 배출량의 총량과 세부 구성이 시간에 따라 어떻게 달라졌는가,총량 추이와 세부 구성,최신연도 구성 상세,측정항목 | 분류 | 세부 분류 | 연도,1970–2024년 전체 추이와 기간 선택,단위별 분리: Gg · Mt CO2eq,데이터 상세 분석만 제공,접힌 원자료 표,Climate Watch / World Resources Institute,true
