token,locations,glossaryMatched,category,englishName,koreanName,tooltipRendered,approved,approvalReason,unwrappedLocations,unwrappedExamples
°C,detail:C-002 | guide,true,unit,Degree Celsius,섭씨도,true,true,registered public glossary term,,
A6.4,detail:E-002 | guide,true,climate-policy,Paris Agreement Article 6.4 mechanism,파리협정 제6.4조 메커니즘,true,true,registered public glossary term,,
ABC,detail:E-004 | download | finder,false,public-brand/literal-fragment,,,false,true,ABC는 공개된 기관·회사·자료의 상표 또는 원문 명칭 조각입니다. 원천에 없는 확장 명칭을 만들지 않고 주변 공개 명칭과 함께 유지합니다.,,
ADB,detail:D-021 | detail:D-022 | detail:E-004 | detail:E-006 | download | finder | guide,true,organisation,Asian Development Bank,아시아개발은행,true,true,registered public glossary term,,
AE,guide,true,energy-technology,Accredited Entity,GCF 인증기구,true,true,registered public glossary term,,
AFD,detail:E-004 | finder | guide,true,organisation,Agence française de développement,프랑스개발청,true,true,registered public glossary term,,
AFOLU,detail:C-002 | detail:E-007 | guide,true,climate-policy,"Agriculture, Forestry and Other Land Use",농업·산림·기타 토지이용,true,true,registered public glossary term,,
AG,detail:E-006,false,public-brand/literal-fragment,,,false,true,AG는 공개된 기관·회사·자료의 상표 또는 원문 명칭 조각입니다. 원천에 없는 확장 명칭을 만들지 않고 주변 공개 명칭과 함께 유지합니다.,,
API,detail:B-043 | guide,true,data-format,Application Programming Interface,응용프로그램 인터페이스,true,true,registered public glossary term,,
AQUASTAT,detail:B-017 | detail:B-024 | detail:B-027 | detail:B-028 | download | guide,true,organisation,FAO Global Information System on Water and Agriculture,FAO 물·농업 정보시스템,true,true,registered public glossary term,,
AR6,detail:B-008 | download | guide,true,climate-policy,IPCC Sixth Assessment Report,IPCC 제6차 평가보고서,true,true,registered public glossary term,,
Article 6,detail:C-006 | detail:C-007 | detail:C-008 | download | guide,true,energy-technology,Paris Agreement Article 6,파리협정 제6조,true,true,registered public glossary term,,
Article 6,guide,true,climate-policy,Paris Agreement Article 6.4 mechanism,파리협정 제6.4조 메커니즘,true,true,registered public glossary term,,
ASB,detail:B-043,false,public-brand/literal-fragment,,,false,true,ASB는 공개된 기관·회사·자료의 상표 또는 원문 명칭 조각입니다. 원천에 없는 확장 명칭을 만들지 않고 주변 공개 명칭과 함께 유지합니다.,,
ASEAN,detail:A-029 | guide,true,organisation,Association of Southeast Asian Nations,동남아시아국가연합,true,true,registered public glossary term,,
AUM,guide,true,energy-technology,Assets Under Management,운용자산규모,true,true,registered public glossary term,,
BAO,detail:D-021,false,public-proper-name/name-fragment,,,false,true,BAO는 공개된 회사·시설·지명·인명 등 고유명에 포함된 원문 조각입니다. 원천에 없는 확장 명칭을 만들지 않고 고유명 표기를 유지합니다.,,
BAU,detail:C-001 | detail:C-004 | finder | guide,true,climate-policy,Business as Usual,기준전망,true,true,registered public glossary term,,
BCC,detail:D-026,false,public-brand/literal-fragment,,,false,true,BCC는 공개된 기관·회사·자료의 상표 또는 원문 명칭 조각입니다. 원천에 없는 확장 명칭을 만들지 않고 주변 공개 명칭과 함께 유지합니다.,,
BCT,detail:C-017 | detail:C-018 | download,false,official-source-identifier,,,false,true,BCT는 공개 원천의 사업·법령·자료·기간 식별자입니다. 출처 대조가 가능하도록 원문 코드를 유지하며 의미를 추정해 확장하지 않습니다.,,
BESS,guide,true,energy-technology,Battery Energy Storage System,배터리 에너지저장장치,true,true,registered public glossary term,,
BIDV,detail:E-003 | guide,true,organisation,Bank for Investment and Development of Vietnam,베트남투자개발은행,true,true,registered public glossary term,,
BioCF,guide,true,development-finance,BioCarbon Fund,바이오카본펀드,true,true,registered public glossary term,,
BKT,detail:E-018,false,public-brand/literal-fragment,,,false,true,BKT는 공개된 기관·회사·자료의 상표 또는 원문 명칭 조각입니다. 원천에 없는 확장 명칭을 만들지 않고 주변 공개 명칭과 함께 유지합니다.,,
BOT,detail:D-026 | guide,true,trade-investment,Build-Operate-Transfer,건설·운영·이전,true,true,registered public glossary term,,
BQLDA,detail:D-021,false,public-brand/literal-fragment,,,false,true,BQLDA는 공개된 기관·회사·자료의 상표 또는 원문 명칭 조각입니다. 원천에 없는 확장 명칭을 만들지 않고 주변 공개 명칭과 함께 유지합니다.,,
BT20,detail:D-026,false,public-brand/literal-fragment,,,false,true,BT20는 공개된 기관·회사·자료의 상표 또는 원문 명칭 조각입니다. 원천에 없는 확장 명칭을 만들지 않고 주변 공개 명칭과 함께 유지합니다.,,
BTR,detail:C-002 | detail:E-007 | download | finder | guide,true,climate-policy,Biennial Transparency Report,격년투명성보고서,true,true,registered public glossary term,,"finder: BTR (격년투명성보고서, 舊 BUR) | detail:C-002: BTR (격년투명성보고서, 舊 BUR) | detail:C-002: 격년투명성보고서(BTR) 항목별 현황"
BUR,detail:C-002 | finder | guide,true,climate-policy,Biennial Update Report,격년갱신보고서,true,true,registered public glossary term,,"finder: BTR (격년투명성보고서, 舊 BUR) | detail:C-002: BTR (격년투명성보고서, 舊 BUR)"
BUR3,detail:E-007,true,climate-policy,Biennial Update Report,격년갱신보고서,true,true,registered public glossary term,,
