route,surface,text,decision,replacement,reason
download,BUTTON,개도국 전략지도국가녹색기술연구소 · 기후기술 협력 데이터,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,데이터 찾기,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,데이터 지도,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,데이터 다운로드,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,⌕검색Ctrl K,KEEP,,states the data and its reading in reader-facing Korean
download,H1,데이터 다운로드,KEEP,,states the data and its reading in reader-facing Korean
download,P,필요한 데이터를 선택해 CSV 또는 JSON으로 내려받을 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,CSV,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,JSON,KEEP,,states the data and its reading in reader-facing Korean
download,H2,1. 데이터 선택,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,검색,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,국가전체베트남,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,대분류전체국가 기본 정보기후 환경정책·제도시장·산업 및 재원협력·실행 기반,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,부패인식지수(CPI) 선택,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,CPI,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,국가 정책·제도 평가(CPIA) 선택,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,CPIA,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,국내총생산 및 경제성장 선택,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,빈곤율 및 극빈곤율 선택,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,산업구조 선택,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,고용 및 실업 선택,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,인구 및 도시화 선택,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,소득 불평등(지니계수) 선택,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,온실가스 배출집약도 선택,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,JRC,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,EDGAR,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,온실가스 종류별 배출량 선택,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,JRC,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,EDGAR,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,부문별 온실가스 배출량 선택,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,JRC,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,EDGAR,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,온실가스 총배출량 선택,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,JRC,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,EDGAR,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,NDC와 지속가능발전목표 연계 선택,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,NDC,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,지속가능발전목표 지수 선택,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,SDSN,KEEP,,states the data and its reading in reader-facing Korean
