pageType,route,surface,text,decision,replacement,reason
finder,A-016,finder-card,1차 에너지 소비구조의 항목별 구성과 연도별 변화를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-005,finder-card,기후 시나리오에 따라 장기적인 건조·습윤 상태가 어떻게 달라지는지 확인할 수 있습니다.,KEEP,,states the data and its reading in reader-facing Korean
finder,D-005,finder-card,기후변화 대응 지출이 적응·감축·동시기여에 어떻게 배분됐는지 확인할 수 있습니다.,KEEP,,states the data and its reading in reader-facing Korean
finder,D-011,finder-card,베트남에 유입된 공적개발원조의 장기 변화와 주요 공여자를 확인할 수 있습니다.,KEEP,,states the data and its reading in reader-facing Korean
finder,D-022,finder-card,개발금융·민관협력 투자사업의 사업 규모와 분야·기관별 구성을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-023,finder-card,건기/우기 유량 차이의 최근 수준과 항목별 차이를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-001,finder-card,건기와 우기의 최근 수준과 항목별 차이를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,A-026,finder-card,건물 분포의 최근 수준과 항목별 차이를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,C-002,finder-card,격년투명성보고서(BTR)의 제도 현황과 시행시점·주요 내용을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,D-012,finder-card,경쟁국 민간기업의 개도국 진출 현황의 사업 규모와 분야·기관별 구성을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,A-006,finder-card,고용 및 실업의 항목별 구성과 연도별 변화를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-004,finder-card,과거·미래 기후전망(CMIP6)의 시나리오별 전망과 기간별 차이를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,E-009,finder-card,과학기술 인력의 최근 수준과 항목별 차이를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-046,finder-card,광물 매장량의 최근 수준과 항목별 차이를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-047,finder-card,광물 생산량의 최근 수준과 항목별 차이를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-045,finder-card,광물자원 국제순위의 최근 수준과 항목별 차이를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
