elementId,generic,title,kpiCount,selectorLabels
A-001,true,부패인식지수(CPI)의 수준과 장기 변화,1,항목 | 세부 분류 | 연도
A-002,false,정책·제도 역량의 수준과 장기 변화,0,기준연도 | 세부항목 클러스터
A-003,true,국내총생산 및 경제성장의 추세와 최근 수준,1,항목 | 분류 | 세부 분류 | 연도
A-004,true,빈곤율 및 극빈곤율의 추세와 최근 수준,1,항목 | 분류 | 세부 분류 | 연도
A-005,false,산업구조의 항목별 비중과 연도별 흐름,0,
A-006,true,고용 및 실업의 추세와 최근 수준,1,항목 | 분류 | 세부 분류 | 연도
A-007,true,인구 및 도시화의 추세와 최근 수준,1,항목 | 세부 분류 | 연도
A-008,true,소득 불평등(지니계수)의 수준과 장기 변화,1,연도
A-009,true,온실가스 배출집약도의 추세와 최근 수준,1,항목 | 분류 | 세부 분류 | 연도
A-010,false,온실가스 종류별 배출량의 항목별 비중과 연도별 흐름,0,
A-011,false,부문별 온실가스 배출량의 항목별 비중과 연도별 흐름,0,
A-012,true,온실가스 총배출량의 추세와 최근 수준,1,항목 | 분류 | 세부 분류 | 연도
A-013,true,NDC와 지속가능발전목표 연계의 항목별 공개 현황,1,분류 | 세부 분류 | 상태 | 정보 유형 | 연도
A-014,true,지속가능발전목표 지수의 수준과 장기 변화,1,항목 | 분류 | 세부 분류 | 연도
A-015,true,지속가능발전목표 세부 달성도의 수준과 장기 변화,1,항목 | 분류 | 세부 분류 | 연도
A-016,false,1차 에너지 소비구조의 항목별 비중과 연도별 흐름,0,
A-017,true,발전원별 균등화 발전비용의 항목별 공개 현황,1,분류 | 기술 | 연도
A-018,false,발전설비 용량의 항목별 비중과 연도별 흐름,0,
A-019,true,송배전 손실률의 추세와 최근 수준,1,연도
A-020,true,재생에너지 비중의 추세와 최근 수준,1,분류 | 연도
A-021,true,전력 접근률의 추세와 최근 수준,1,분류 | 연도
A-022,true,정전 빈도와 지속시간의 추세와 최근 수준,1,항목 | 분류 | 세부 분류 | 연도
A-023,true,발전소 현황의 지역별 차이와 범위,0,용량 구간 | 준공연도 | 연료 유형 | 연료 유형
A-024,true,베트남 송전망의 지역별 차이와 범위,1,분류 | 세부 분류 | 연도
A-025,true,탄소포집·저장 시설의 지역별 차이와 범위,1,시설 유형 | 상태 | 유형 | 연도
A-026,true,건물 분포의 지역별 차이와 범위,1,항목 | 분류 | 세부 분류 | 연도
A-027,true,육상교통 인프라의 지역별 차이와 범위,1,항목 | 분류 | 세부 분류 | 연도
A-028,true,해안·수자원 인프라의 지역별 차이와 범위,1,항목 | 분류 | 세부 분류 | 연도
A-029,true,자유무역협정 체결 현황의 주요 제도 변화,1,분류 | 세부 분류 | 상태 | 연도
A-030,true,한국과의 교역 규모의 항목별 공개 현황,1,분류 | 세부 분류 | 연도
A-031,true,물류성과지수의 수준과 장기 변화,1,분류 | 세부 분류 | 연도
A-032,true,중간재 교역 규모의 항목별 공개 현황,1,항목 | 분류 | 세부 분류 | 연도
A-033,true,해운 연결성의 수준과 장기 변화,1,분류 | 세부 분류 | 연도
B-001,true,건기와 우기의 최근 수준과 항목별 차이,1,항목 | 세부 분류 | 연도
B-002,true,기후대의 지역별 차이와 범위,1,항목 | 세부 분류 | 분류 | 분류 | 연도
B-003,true,평균 기온과 강수량의 추세와 최근 수준,1,항목 | 연도
B-004,true,과거·미래 기후전망(CMIP6)의 시나리오·기간별 변화,1,항목 | 세부 분류 | 기술 | 연도
B-005,false,가뭄 위험의 시나리오별 장기 전망,0,
B-006,true,폭염 위험의 지역별 차이와 범위,1,항목 | 세부 분류 | 연도
B-007,true,홍수·호우 위험의 지역별 차이와 범위,1,항목 | 세부 분류 | 연도
B-008,true,해수면 상승 전망의 시나리오·기간별 변화,1,항목 | 연도
B-009,true,생물다양성·기후 위험의 항목별 공개 현황,1,항목 | 세부 분류 | 분류 | 기술 | 연도
B-010,true,기후위험지수의 항목별 공개 현황,1,항목 | 연도
B-011,true,기후취약성지수의 항목별 공개 현황,1,항목 | 세부 분류 | 연도
B-012,true,재해·재난 이력의 주요 제도 변화,1,연도
B-013,true,탄소국경조정제도 영향의 항목별 공개 현황,1,항목 | 세부 분류 | 분류 | 연도
B-014,true,탄소세 도입 효과 전망의 시나리오·기간별 변화,1,항목 | 세부 분류 | 연도
B-015,true,탄소가격 수준의 주요 제도 변화,1,항목 | 세부 분류 | 연도
B-016,true,화석연료 의존도의 추세와 최근 수준,1,항목 | 연도
B-017,true,물 스트레스의 지역별 차이와 범위,1,항목 | 세부 분류 | 분류 | 기술 | 연도
B-018,true,장기 국내총생산 전망의 시나리오·기간별 변화,1,항목 | 세부 분류 | 연도
B-019,true,장기 인구 전망의 시나리오·기간별 변화,1,항목 | 세부 분류 | 연도
B-020,true,복합 위험지수의 항목별 공개 현황,1,항목 | 세부 분류 | 분류 | 연도
B-021,true,취약성지수의 항목별 공개 현황,1,항목 | 세부 분류 | 분류 | 연도
B-022,true,기후피해의 경제적 비용의 항목별 공개 현황,1,항목 | 세부 분류 | 연도
B-023,true,건기/우기 유량 차이의 최근 수준과 항목별 차이,1,항목 | 세부 분류 | 연도
B-024,false,농업 용수 비중(%)의 항목별 비중과 연도별 흐름,0,
B-025,true,유역 면적(km²)의 지역별 차이와 범위,1,항목 | 세부 분류 | 분류 | 연도
B-026,true,유향(flow direction)의 지역별 차이와 범위,1,항목 | 세부 분류 | 연도
B-027,true,지하수 잠재량(m³/yr)의 지역별 차이와 범위,1,항목 | 연도
B-028,true,하천 유량(m³/s)의 지역별 차이와 범위,1,항목 | 댐 건설 시기 | 세부 분류 | 분류 | 연도
B-029,true,산림 유형별 면적의 지역별 차이와 범위,1,항목 | 연도
B-030,true,산림 이득(ha/yr)의 지역별 차이와 범위,1,항목 | 연도
B-031,true,산림 총면적의 지역별 차이와 범위,1,항목 | 세부 분류 | 분류 | 연도
B-032,true,수관 피복률(%)의 지역별 차이와 범위,1,항목 | 세부 분류 | 분류 | 연도
B-033,true,연간 산림손실의 지역별 차이와 범위,1,항목 | 세부 분류 | 분류 | 연도
B-034,true,탄소 저장량의 지역별 차이와 범위,1,항목 | 세부 분류 | 분류 | 연도
B-035,true,LULUCF 관련 면적 변화의 지역별 차이와 범위,1,항목 | 분류 | 세부 분류 | 연도
B-036,true,토지이용 변화율(%/yr)의 지역별 차이와 범위,1,항목 | 세부 분류 | 연도
B-037,true,토지피복 구성의 지역별 차이와 범위,1,항목 | 세부 분류 | 연도
B-038,true,바이오매스 자원 가용량의 지역별 차이와 범위,1,항목 | 분류 | 세부 분류 | 기술 | 연도
B-039,true,수력 잠재량의 지역별 차이와 범위,1,항목 | 세부 분류 | 연도
B-040,true,지열 잠재량의 지역별 차이와 범위,1,항목 | 분류 | 세부 분류 | 분류 | 기술 | 연도
B-041,true,태양광 자원의 지역별 차이와 범위,1,항목 | 세부 분류 | 분류 | 기술 | 연도
B-042,true,풍력 자원의 지역별 차이와 범위,1,항목 | 세부 분류 | 분류 | 연도
B-043,true,화석연료 자원량의 지역별 차이와 범위,1,항목 | 세부 분류 | 분류 | 기술 | 연도
B-044,true,핵심 광물 종류의 항목별 공개 현황,1,항목 | 세부 분류 | 연도
B-045,true,광물자원 국제순위의 항목별 공개 현황,1,항목 | 세부 분류 | 연도
B-046,true,광물 매장량의 항목별 공개 현황,1,항목 | 세부 분류 | 연도
B-047,true,광물 생산량의 항목별 공개 현황,1,항목 | 세부 분류 | 연도
B-048,true,주요 광산 위치의 지역별 차이와 범위,1,항목 | 세부 분류 | 지역 | 연도
C-001,true,국가 온실가스 감축목표(NDC)의 항목별 공개 현황,1,항목 | 분류 | 세부 분류 | 분류 | 연도
C-002,false,격년투명성보고서(BTR)의 항목별 공개 현황,0,
C-003,true,국가적응계획(NAP)의 항목별 공개 현황,1,항목 | 분류 | 세부 분류 | 분류 | 연도
C-004,true,장기 저탄소 발전전략의 항목별 공개 현황,1,항목 | 분류 | 세부 분류 | 분류 | 연도
C-005,true,기후기술 수요 및 우선기술의 항목별 공개 현황,1,항목 | 분류 | 세부 분류 | 분류 | 연도
C-006,true,파리협정 제6조 양자협력 체계의 항목별 공개 현황,1,항목 | 분류 | 세부 분류 | 분류 | 연도
C-007,true,파리협정 비시장 접근의 규모와 분야별 분포,1,항목 | 분류 | 세부 분류 | 분류 | 연도
C-008,true,국제 기후협력 이니셔티브의 규모와 분야별 분포,1,항목 | 분류 | 세부 분류 | 분류 | 연도
C-009,true,기후변화 법·제도의 주요 제도 변화,1,항목 | 분류 | 세부 분류 | 분류 | 연도
C-010,true,환경 법·제도의 주요 제도 변화,1,항목 | 분류 | 세부 분류 | 분류 | 연도
C-011,true,치안·안전 정보의 항목별 공개 현황,1,항목 | 분류 | 세부 분류 | 분류 | 연도
C-012,true,민관협력·조달 제도의 항목별 공개 현황,1,항목 | 분류 | 세부 분류 | 분류 | 연도
C-013,true,외국인 투자제도의 항목별 공개 현황,1,항목 | 분류 | 세부 분류 | 연도
C-014,true,사업 인허가 절차의 항목별 공개 현황,1,항목 | 분류 | 세부 분류 | 연도
C-015,true,정책·제도 원문자료의 항목별 공개 현황,1,항목 | 분류 | 세부 분류 | 분류 | 기간
C-016,true,재생에너지 발주·확대계획의 주요 제도 변화,1,항목 | 분류 | 세부 분류 | 분류 | 분류 | 기간 | 연도
C-017,true,재생에너지 투자 인센티브의 항목별 공개 현황,1,항목 | 분류 | 세부 분류 | 분류 | 분류 | 연도
C-018,true,중장기 에너지 전망의 시나리오·기간별 변화,1,항목 | 분류 | 세부 분류 | 분류 | 분류 | 연도
C-019,true,탄소시장 법·제도와 예산의 항목별 공개 현황,1,항목 | 분류 | 세부 분류 | 분류 | 연도
C-020,false,온실가스 감축사업 기초정보 수집 상태,0,
C-021,false,자발적 탄소시장 사업목록 수집 상태,0,
C-022,true,탄소시장 준비도의 항목별 공개 현황,1,항목 | 분류 | 세부 분류 | 분류 | 연도
C-023,false,한계저감비용 자료 수집 상태,0,
C-024,true,산림전용 방지 및 산림보전(REDD+)의 항목별 공개 현황,1,항목 | 분류 | 세부 분류 | 연도
C-025,true,탄소크레딧 사업 및 발행실적의 규모와 분야별 분포,1,항목 | 상태 | 기술 분야 | 연도
D-001,true,단위 사업당 CAPEX의 항목별 공개 현황,1,분류 | 세부 분류 | 분류 | 기술 | 연도
D-002,true,시장 성장률의 항목별 공개 현황,1,분류 | 기술 | 연도
D-003,true,예상 감축량의 항목별 공개 현황,1,항목 | 분류 | 세부 분류 | 기술 | 연도
D-004,true,크레딧 가격 연동 수익성의 항목별 공개 현황,1,분류 | 기술 | 연도
D-005,false,기후예산의 적응·감축 배분 구조,0,
D-006,true,기후 관련 조세 수입의 항목별 공개 현황,1,항목 | 분류 | 세부 분류 | 연도
D-007,true,"기후예산태깅(CBT, Climate Budget Tagging) 도입 여부 및 수준의 항목별 공개 현황",1,분류 | 세부 분류 | 연도
D-008,true,주관 부처별 기후 예산 규모의 항목별 공개 현황,1,항목 | 분류 | 세부 분류 | 연도
D-009,true,"총 지출 규모, 연도별 추이의 항목별 공개 현황",1,항목 | 분류 | 세부 분류 | 연도
D-010,true,화석연료 보조금 규모의 항목별 공개 현황,1,항목 | 분류 | 세부 분류 | 연도
D-011,false,ODA 유입 규모와 공여자 구성,0,
D-012,true,"경쟁국 민간기업의 개도국 진출 현황: 기업명, 국적, 진출 대상국, 기술 분야(RE/효율/폐기물), 프로젝트명, 용량(MW), 투자액(USD), 진출 형태(EPC/투자/라이선스)의 항목별 공개 현황",1,항목 | 설비용량 | 분류 | 세부 분류 | 기술 분야 | 연도
D-013,true,녹색성장지수의 수준과 장기 변화,1,분류 | 세부 분류 | 연도
D-014,true,대외경제협력기금 사업의 규모와 분야별 분포,1,항목 | 분류 | 세부 분류 | 상태 | 연도
D-015,true,한국 공적개발원조 사업의 규모와 분야별 분포,1,항목 | 분류 | 세부 분류 | 상태 | 연도
D-016,true,정부·지방자치단체 협력사업의 규모와 분야별 분포,1,항목 | 분류 | 세부 분류 | 기관 유형 | 상태 | 연도
D-017,true,한국 ODA 사업기획·입찰의 항목별 공개 현황,1,항목 | 분류 | 세부 분류 | 부문 | 상태 | 연도
D-018,true,적응기금 사업의 규모와 분야별 분포,1,항목 | 분류 | 세부 분류 | 부문 | 연도
D-019,true,CTCN 기술지원의 규모와 분야별 분포,1,항목 | 분류 | 세부 분류 | 부문 | 연도
D-020,true,녹색기후기금 사업의 규모와 분야별 분포,1,항목 | 세부 분류 | 재원 유형 | 부문 | 상태 | 대상국 | 대상 지역 | 연도
D-021,true,국제기구·개발은행 사업의 규모와 분야별 분포,1,항목 | 분류 | 세부 분류 | 상태 | 연도
D-022,true,개발금융·민관협력 투자사업의 규모와 분야별 분포,1,항목 | 분류 | 분야 | 세부 분류 | 연도
D-023,true,국제협력·기후재원 사업의 규모와 분야별 분포,1,항목 | 분류 | 세부 분류 | 재원 유형 | 기금 | 사업 유형 | 부문 | 상태 | 대상국 | 대상 지역 | 연도
D-024,true,벤처·임팩트 투자의 규모와 분야별 분포,1,항목 | 분류 | 연도
D-025,true,민간 인프라 투자의 규모와 분야별 분포,1,항목 | 설비용량 | 분류 | 세부 분류 | 상태 | 기술 | 연도
D-026,true,정치적 위험 보증사업의 규모와 분야별 분포,1,세부 분류 | 상태 | 연도
E-001,true,CTCN 국가지정기구의 기관별 공개 정보,0,기관 구분
E-002,true,파리협정 국가지정기관의 기관별 공개 정보,0,상태 | 상태
E-003,true,녹색기후기금 국가지정기관의 기관별 공개 정보,0,역할
E-004,true,국제기구 현지사무소의 기관별 공개 정보,0,도시 | 자료 상태 | 연락 유형 | 기관 유형 | 상태
E-005,true,대학·연구기관·시민사회의 기관별 공개 정보,0,도시 | 기관 유형
E-006,true,현지 투자자 네트워크의 기관별 공개 정보,0,금액 구분 | 금액 유형 | 도시 | 자료 상태 | 기금·소속기관 | 본부 소재국 | 투자 분야 | 출처 유형
