elementId,surface,before,decision,after,reason
A-023,left-list,발전소 / 입지·발전원·설비용량 분포,KEEP,,states the data and its reading in reader-facing Korean
A-023,legend,발전소선택 데이터 · 발전소 · 개숨기기,KEEP,,states the data and its reading in reader-facing Korean
A-023,selected-detail,"데이터 지도선택 데이터 1개를 보고, 필요하면 보조 데이터 1개를 함께 보세요.접기국가베트남방글라데시 · 준비 중필리핀 · 준비 중캄보디아 · 준비 중인도네시아 · 준비 중라오스 · 준비 중스리랑카 · 준비 중인도 · 준비 중말레이시아 · 준비 중이집트 · 준비 중전체 범위 보기모두 지우기추천 분석전력 인프라송전망 + 발전소재생에너지 계획지역별 계획 + 송전망·발전소산림 변화산림손실 + 산림면적·탄소기후 취약성권역 위험도 + 기후예산·적응사업기후재원 사업적응기금 지역 협력범위 + 검증된 탄소사업지지도 데이터지도에서 확인할 데이터를 선택하세요에너지·인프라발전소입지·발전원·설비용량 분포베트남 송전망연결구조·전압별 분포재생에너지 지역계획성·시별 계획용량산림·토지산림 총면적성·시별 산림면적수관 피복률성·시별 수관피",KEEP,,states the data and its reading in reader-facing Korean
A-024,left-list,베트남 송전망 / 연결구조·전압별 분포,KEEP,,states the data and its reading in reader-facing Korean
A-024,legend,베트남 송전망선택 데이터 · 전체 전압 · kV숨기기,KEEP,,states the data and its reading in reader-facing Korean
A-024,selected-detail,"데이터 지도선택 데이터 1개를 보고, 필요하면 보조 데이터 1개를 함께 보세요.접기국가베트남방글라데시 · 준비 중필리핀 · 준비 중캄보디아 · 준비 중인도네시아 · 준비 중라오스 · 준비 중스리랑카 · 준비 중인도 · 준비 중말레이시아 · 준비 중이집트 · 준비 중전체 범위 보기모두 지우기추천 분석전력 인프라송전망 + 발전소재생에너지 계획지역별 계획 + 송전망·발전소산림 변화산림손실 + 산림면적·탄소기후 취약성권역 위험도 + 기후예산·적응사업기후재원 사업적응기금 지역 협력범위 + 검증된 탄소사업지지도 데이터지도에서 확인할 데이터를 선택하세요에너지·인프라발전소입지·발전원·설비용량 분포베트남 송전망연결구조·전압별 분포재생에너지 지역계획성·시별 계획용량산림·토지산림 총면적성·시별 산림면적수관 피복률성·시별 수관피",KEEP,,states the data and its reading in reader-facing Korean
C-016,left-list,재생에너지 지역계획 / 성·시별 계획용량,KEEP,,states the data and its reading in reader-facing Korean
C-016,legend,재생에너지 지역계획선택 데이터 · 옥상태양광(ĐMT mái nhà) · MW숨기기,KEEP,,states the data and its reading in reader-facing Korean
C-016,selected-detail,"데이터 지도선택 데이터 1개를 보고, 필요하면 보조 데이터 1개를 함께 보세요.접기국가베트남방글라데시 · 준비 중필리핀 · 준비 중캄보디아 · 준비 중인도네시아 · 준비 중라오스 · 준비 중스리랑카 · 준비 중인도 · 준비 중말레이시아 · 준비 중이집트 · 준비 중전체 범위 보기모두 지우기추천 분석전력 인프라송전망 + 발전소재생에너지 계획지역별 계획 + 송전망·발전소산림 변화산림손실 + 산림면적·탄소기후 취약성권역 위험도 + 기후예산·적응사업기후재원 사업적응기금 지역 협력범위 + 검증된 탄소사업지지도 데이터지도에서 확인할 데이터를 선택하세요에너지·인프라발전소입지·발전원·설비용량 분포베트남 송전망연결구조·전압별 분포재생에너지 지역계획성·시별 계획용량산림·토지산림 총면적성·시별 산림면적수관 피복률성·시별 수관피",KEEP,,states the data and its reading in reader-facing Korean
B-021,left-list,지역 취약성 / 권역별 취약성 수준,KEEP,,states the data and its reading in reader-facing Korean
