route,pageType,section,visibleText,component
home,home,,개도국 전략지도,STRONG
home,home,,국가녹색기술연구소 · 기후기술 협력 데이터,SMALL
home,home,,데이터 찾기,BUTTON
home,home,,데이터 지도,BUTTON
home,home,,데이터 다운로드,BUTTON
home,home,,⌕,SPAN
home,home,,검색,STRONG
home,home,,국가별 기후기술 협력 데이터,SPAN
home,home,,개도국 기후기술 협력 플랫폼,H1
home,home,,베트남의,SPAN
home,home,,GDP,BUTTON
home,home,,"등 경제지표,",SPAN
home,home,,NDC,BUTTON
home,home,,·,SPAN
home,home,,GHG,BUTTON
home,home,,"정책, 에너지·인프라, 기후위험,",SPAN
home,home,,ODA,BUTTON
home,home,,"사업·재원, 협력기관 데이터를 검색하고 지도와 차트로 분석할 수 있습니다.",SPAN
home,home,,베트남 데이터 검색,LABEL
home,home,,빠른 검색,SPAN
home,home,,GDP,SPAN
home,home,,( 국내총생산 ),SPAN
home,home,,송전망,SPAN
home,home,,산림손실,SPAN
home,home,,재생에너지,SPAN
home,home,,기후재원,SPAN
home,home,,데이터 찾기,STRONG
home,home,,152개 데이터 항목을 주제·기관·기술로 탐색 →,SPAN
home,home,,데이터 지도,STRONG
home,home,,시설·인프라·지역 데이터를 지도에서 분석 →,SPAN
home,home,,데이터 다운로드,STRONG
home,home,,재사용 가능한 공개 데이터를 선택해 내려받기 →,SPAN
home,home,,국가 기본정보,BUTTON
home,home,,기후·환경,BUTTON
home,home,,정책·제도,BUTTON
home,home,,시장·산업·재원,BUTTON
home,home,,협력사업·이행,BUTTON
home,home,,현재 제공 국가 · 베트남,SPAN
home,home,,베트남 주요 분석 데이터,STRONG
home,home,,전체 데이터 보기 →,BUTTON
home,home,,01,SPAN
home,home,,국가 정책·제도 평가(,SPAN
home,home,,CPIA,SPAN
home,home,,( 국가정책·제도평가 ),SPAN
home,home,,),SPAN
home,home,,· 2005–2015년,SMALL
home,home,,World Bank,SPAN
home,home,,데이터 제공,SPAN
home,home,,다운로드 가능,SPAN
home,home,,02,SPAN
home,home,,국내총생산 및 경제성장,SPAN
home,home,,· 1985–2025년,SMALL
home,home,,03,SPAN
home,home,,온실가스 종류별 배출량,SPAN
home,home,,· 1970–2024년,SMALL
home,home,,"European Commission, Joint Research Centre (",SPAN
home,home,,JRC,SPAN
home,home,,( 유럽연합 공동연구센터 ),SPAN
home,home,,) —,SPAN
home,home,,EDGAR,SPAN
home,home,,( 세계 대기연구 배출 데이터베이스 ),SPAN
home,home,,04,SPAN
home,home,,발전소 현황,SPAN
home,home,,· 2021–2026년,SMALL
