route,surface,userNeeds,before,decision,after,rationale,verification,editorialReview
home,home action cards,"어떤 기능이 있고, CSV·JSON이 무엇인지","이동 버튼 안에 약어 도움말 버튼이 중첩되어, 도움말을 열면 다운로드 화면으로 함께 이동",수정,"카드는 컨테이너, 이동은 버튼, 설명·약어 도움말은 버튼 바깥",button 안의 button은 파서가 분해하며 클릭이 두 동작을 실행,v136-4 중첩 컨트롤 검사 0건 + 도움말 클릭 후 URL 불변 확인 + 1440/1024/768/390/1920 캡처,REVIEWED
D-022,KPI / 분야 선택 / 목록 제목,"약정액·집행액·사업 수, 자료연도, 분야 구성",상단 KPI가 약정액과 집행액을 한 measure로 묶어 첫 행만 표시; 제목 3중 중첩; '확인 금액 합계'·'확인 기간'이 어떤 금액·연도인지 불명,수정,"모호한 상단 KPI 제거(핵심 수치에 약정액·집행액 별도 표시), '사업 규모와 구성' 단일 제목, '투자 약정액 합계'·'사업 시작연도'",commitment 열과 field_92700393(기간 시작)을 원천에서 확인,화면 캡처 + 15건/18.76억/2009-2025 보존 확인,REVIEWED
D-025,설비용량 선택기,사업 규모를 단위와 함께,"'설비용량'에 715 MW와 가스관 399 KM, 'Not Available MW'가 함께 제시",수정,"'사업 규모'로 표시명 변경, 결측 표시는 '규모 미기재'/'214 (단위 미기재)'",열이 사업별 단위를 그대로 담고 있어 용량으로 단정할 수 없음. 값·필터키는 미변경,v136-4 용량 필터 길이단위 혼합 검사 0건 + 캡처,REVIEWED
B-034,KPI / 차트 단위,탄소 지표의 임계값·성별 차이,임계값별과 성 단위 66행 중 첫 행을 대표값으로 표시; 차트 단위 CO₂e/yr에 용어 도움말 없음,수정,"단일 KPI 생략(범주 비교 유지), 차트 '단위:'에 용어 도움말 연결",임계값과 행정구역은 서로 다른 대상이라 한 행이 대표값이 될 수 없음,v134 약어 도움말 검사 0건 + 화면 확인,REVIEWED
A-017,KPI / 발전원 비교,발전원별 균등화발전비용 비교,가스복합화력(하한) 85 USD/MWh가 전체 대표값처럼 표시,수정,"단일 KPI 생략, 24개 발전원 비교 차트가 답을 제시",행이 기술별 구간값이라 첫 행이 대표값이 아님,화면 캡처로 생략 후 가독성 확인,REVIEWED
A-003,KPI,1인당 GDP의 현재 수준,1인당 GDP · 명목 · 경상 미달러 기준 단일 행,유지,변경 없음,행이 하나라 대표값이 모호하지 않음,KPI 유지 확인(변경 전후 census 대조),REVIEWED
A-001,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
A-002,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
A-004,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
A-005,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
A-006,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
