country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data
VNM,Vietnam,Duc Minh,WKS0066206,19.1,14.9600,108.9320,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,
VNM,Vietnam,Ninh Thuận CMX,WKS0067920,168.0,11.7000,108.9000,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,
VNM,Vietnam,Phước Nam,WKS0071353,330.0,11.4460,108.8660,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,
VNM,Vietnam,Dau Tieng,WKS0072161,420.0,11.3350,106.2750,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,
VNM,Vietnam,Thuan Bac,WKS0072323,204.0,11.7000,109.0300,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,
VNM,Vietnam,Cam Ranh,WKS0072716,49.5,11.8920,109.0880,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,
VNM,Vietnam,Mai Sơn,WKS0072751,10.0,21.2710,104.0650,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,
VNM,Vietnam,Cam An Bac KN,WKS0073161,62.5,11.9900,109.0800,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,
VNM,Vietnam,Cam An Bac VN,WKS0073163,62.8,11.9880,109.0810,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,
VNM,Vietnam,Chau Duc,WKS0073902,57.0,10.5780,107.1860,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,
VNM,Vietnam,Krong Pac,WKS0073959,30.0,12.7790,108.3680,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,
VNM,Vietnam,Cam Ranh A,WKS0073960,8.5,11.8800,109.0865,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,
VNM,Vietnam,Binh Nguyen,WKS0073962,49.0,15.3330,108.7080,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,
VNM,Vietnam,Thua Thien Hue TTC,WKS0073963,48.0,16.4400,107.5050,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,
VNM,Vietnam,Ham Kiem,WKS0073964,49.0,10.9050,108.0160,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,
VNM,Vietnam,Long An TTC,WKS0073965,49.0,10.7450,106.0850,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,
VNM,Vietnam,Bac Lieu Wind power,WRI1030729,99.0,9.2351,105.8048,Wind,,,,2016.0,Cong Ly Construction-Trade-Tourism,Vietnam Electricity Annual Report,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf,WRI,1083899,
